"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31326,8.7599e+05,1,0.044257,0.044257,0,0
0.31429,8.758e+05,1,0.04438,0.04438,0,0
0.31533,8.7561e+05,1,0.044503,0.044503,0,0
0.31636,8.7542e+05,1,0.044626,0.044626,0,0
0.3174,8.7523e+05,1,0.044749,0.044749,0,0
0.31843,8.7503e+05,1,0.044872,0.044872,0,0
0.31947,8.7484e+05,1,0.044995,0.044995,0,0
0.32051,8.7465e+05,1,0.045118,0.045118,0,0
0.32157,8.7445e+05,1,0.045241,0.045241,0,0
0.32262,8.7425e+05,1,0.045364,0.045364,0,0
0.32368,8.7406e+05,1,0.045487,0.045487,0,0
0.32474,8.7386e+05,1,0.04561,0.04561,0,0
0.32584,8.7366e+05,1,0.045732,0.045732,0,0
0.32694,8.7346e+05,1,0.045855,0.045855,0,0
0.32804,8.7326e+05,1,0.045978,0.045978,0,0
0.32914,8.7305e+05,1,0.046101,0.046101,0,0
0.33025,8.728e+05,1,0.046224,0.046224,0,0
0.33136,8.7255e+05,1,0.046347,0.046347,0,0
0.33247,8.7229e+05,1,0.04647,0.04647,0,0
0.33358,8.7204e+05,1,0.046593,0.046593,0,0
0.33472,8.7183e+05,1,0.046716,0.046716,0,0
0.33586,8.7162e+05,1,0.046839,0.046839,0,0
0.33701,8.7141e+05,1,0.046962,0.046962,0,0
0.33815,8.7121e+05,1,0.047085,0.047085,0,0
0.33929,8.71e+05,1,0.047208,0.047208,0,0
0.34044,8.7079e+05,1,0.047331,0.047331,0,0
0.34158,8.7058e+05,1,0.047454,0.047454,0,0
0.34273,8.7038e+05,1,0.047577,0.047577,0,0
0.3439,8.7014e+05,1,0.047699,0.047699,0,0
0.34508,8.699e+05,1,0.047822,0.047822,0,0
0.34626,8.6965e+05,1,0.047945,0.047945,0,0
0.34744,8.6941e+05,1,0.048068,0.048068,0,0
0.34861,8.6917e+05,1,0.048191,0.048191,0,0
0.34979,8.6893e+05,1,0.048314,0.048314,0,0
0.35097,8.6868e+05,1,0.048437,0.048437,0,0
0.35215,8.6844e+05,1,0.04856,0.04856,0,0
0.35337,8.682e+05,1,0.048683,0.048683,0,0
0.35459,8.6795e+05,1,0.048806,0.048806,0,0
0.35581,8.677e+05,1,0.048929,0.048929,0,0
0.35703,8.6746e+05,1,0.049052,0.049052,0,0
0.35825,8.6721e+05,1,0.049175,0.049175,0,0
0.35948,8.6696e+05,1,0.049298,0.049298,0,0
0.3607,8.6672e+05,1,0.049421,0.049421,0,0
0.36192,8.6647e+05,1,0.049544,0.049544,0,0
0.3632,8.6618e+05,1,0.049666,0.049666,0,0
0.36449,8.6589e+05,1,0.049789,0.049789,0,0
0.36578,8.6559e+05,1,0.049912,0.049912,0,0
0.36708,8.6529e+05,1,0.050035,0.050035,0,0
0.36838,8.6499e+05,1,0.050158,0.050158,0,0
0.36968,8.647e+05,1,0.050281,0.050281,0,0
0.37099,8.644e+05,1,0.050404,0.050404,0,0
0.37229,8.641e+05,1,0.050527,0.050527,0,0
0.37361,8.6381e+05,1,0.05065,0.05065,0,0
0.37492,8.6351e+05,1,0.050773,0.050773,0,0
0.37624,8.6322e+05,1,0.050896,0.050896,0,0
0.37755,8.6292e+05,1,0.051019,0.051019,0,0
0.37888,8.6262e+05,1,0.051142,0.051142,0,0
0.38021,8.6233e+05,1,0.051265,0.051265,0,0
0.38154,8.6203e+05,1,0.051388,0.051388,0,0
0.38288,8.6173e+05,1,0.051511,0.051511,0,0
0.38422,8.6142e+05,1,0.051633,0.051633,0,0
0.38558,8.611e+05,1,0.051756,0.051756,0,0
0.38694,8.6079e+05,1,0.051879,0.051879,0,0
0.38829,8.6047e+05,1,0.052002,0.052002,0,0
0.38967,8.6016e+05,1,0.052125,0.052125,0,0
0.39105,8.5985e+05,1,0.052248,0.052248,0,0
0.39243,8.5954e+05,1,0.052371,0.052371,0,0
0.39382,8.5922e+05,1,0.052494,0.052494,0,0
0.3952,8.589e+05,1,0.052617,0.052617,0,0
0.39659,8.5856e+05,1,0.05274,0.05274,0,0
0.39798,8.5822e+05,1,0.052863,0.052863,0,0
0.39936,8.5789e+05,1,0.052986,0.052986,0,0
0.40078,8.5756e+05,1,0.053109,0.053109,0,0
0.40223,8.5724e+05,1,0.053232,0.053232,0,0
0.40367,8.5692e+05,1,0.053355,0.053355,0,0
0.40511,8.566e+05,1,0.053478,0.053478,0,0
0.40659,8.5625e+05,1,0.0536,0.0536,0,0
0.40809,8.5587e+05,1,0.053723,0.053723,0,0
0.40957,8.5548e+05,1,0.053846,0.053846,0,0
0.41101,8.5507e+05,1,0.053969,0.053969,0,0
0.41246,8.5469e+05,1,0.054092,0.054092,0,0
0.41392,8.5434e+05,1,0.054215,0.054215,0,0
0.41538,8.5398e+05,1,0.054338,0.054338,0,0
0.41684,8.5362e+05,1,0.054461,0.054461,0,0
0.41831,8.5326e+05,1,0.054584,0.054584,0,0
0.4198,8.5288e+05,1,0.054707,0.054707,0,0
0.4213,8.525e+05,1,0.05483,0.05483,0,0
0.42279,8.5212e+05,1,0.054953,0.054953,0,0
0.42429,8.5175e+05,1,0.055076,0.055076,0,0
0.42582,8.5137e+05,1,0.055199,0.055199,0,0
0.42734,8.5099e+05,1,0.055322,0.055322,0,0
0.42887,8.5062e+05,1,0.055445,0.055445,0,0
0.43039,8.5023e+05,1,0.055567,0.055567,0,0
0.43192,8.4981e+05,1,0.05569,0.05569,0,0
0.43345,8.494e+05,1,0.055813,0.055813,0,0
0.43499,8.4899e+05,1,0.055936,0.055936,0,0
0.43653,8.4858e+05,1,0.056059,0.056059,0,0
0.43809,8.4816e+05,1,0.056182,0.056182,0,0
0.43966,8.4775e+05,1,0.056305,0.056305,0,0
0.44122,8.4734e+05,1,0.056428,0.056428,0,0
0.44279,8.4692e+05,1,0.056551,0.056551,0,0
0.44439,8.465e+05,1,0.056674,0.056674,0,0
0.44598,8.4607e+05,1,0.056797,0.056797,0,0
0.44758,8.4565e+05,1,0.05692,0.05692,0,0
0.44918,8.4522e+05,1,0.057043,0.057043,0,0
0.45079,8.4479e+05,1,0.057166,0.057166,0,0
0.4524,8.4436e+05,1,0.057289,0.057289,0,0
0.45401,8.4392e+05,1,0.057411,0.057411,0,0
0.45563,8.4348e+05,1,0.057534,0.057534,0,0
0.45725,8.4302e+05,1,0.057657,0.057657,0,0
0.45887,8.4256e+05,1,0.05778,0.05778,0,0
0.4605,8.421e+05,1,0.057903,0.057903,0,0
0.46213,8.4163e+05,1,0.058026,0.058026,0,0
0.46379,8.4116e+05,1,0.058149,0.058149,0,0
0.46546,8.4069e+05,1,0.058272,0.058272,0,0
0.46712,8.4022e+05,1,0.058395,0.058395,0,0
0.4688,8.3975e+05,1,0.058518,0.058518,0,0
0.47049,8.3926e+05,1,0.058641,0.058641,0,0
0.47218,8.3878e+05,1,0.058764,0.058764,0,0
0.47388,8.383e+05,1,0.058887,0.058887,0,0
0.47557,8.3782e+05,1,0.05901,0.05901,0,0
0.47729,8.3733e+05,1,0.059133,0.059133,0,0
0.479,8.3684e+05,1,0.059256,0.059256,0,0
0.48071,8.3635e+05,1,0.059378,0.059378,0,0
0.48243,8.3586e+05,1,0.059501,0.059501,0,0
0.48414,8.3533e+05,1,0.059624,0.059624,0,0
0.48586,8.3481e+05,1,0.059747,0.059747,0,0
0.48758,8.3429e+05,1,0.05987,0.05987,0,0
0.4893,8.3377e+05,1,0.059993,0.059993,0,0
0.49106,8.3324e+05,1,0.060116,0.060116,0,0
0.49281,8.3271e+05,1,0.060239,0.060239,0,0
0.49456,8.3218e+05,1,0.060362,0.060362,0,0
0.49632,8.3165e+05,1,0.060485,0.060485,0,0
0.49811,8.311e+05,1,0.060608,0.060608,0,0
0.4999,8.3056e+05,1,0.060731,0.060731,0,0
0.50169,8.3002e+05,1,0.060854,0.060854,0,0
0.50347,8.2948e+05,1,0.060977,0.060977,0,0
0.50528,8.2893e+05,1,0.0611,0.0611,0,0
0.50709,8.2837e+05,1,0.061223,0.061223,0,0
0.5089,8.2782e+05,1,0.061345,0.061345,0,0
0.51071,8.2726e+05,1,0.061468,0.061468,0,0
0.51252,8.2669e+05,1,0.061591,0.061591,0,0
0.51434,8.2612e+05,1,0.061714,0.061714,0,0
0.51616,8.2555e+05,1,0.061837,0.061837,0,0
0.51797,8.2498e+05,1,0.06196,0.06196,0,0
0.51982,8.2436e+05,1,0.062083,0.062083,0,0
0.52166,8.2374e+05,1,0.062206,0.062206,0,0
0.5235,8.2313e+05,1,0.062329,0.062329,0,0
0.52535,8.2251e+05,1,0.062452,0.062452,0,0
0.52723,8.2191e+05,1,0.062575,0.062575,0,0
0.52912,8.2131e+05,1,0.062698,0.062698,0,0
0.53101,8.2071e+05,1,0.062821,0.062821,0,0
0.5329,8.2011e+05,1,0.062944,0.062944,0,0
0.5348,8.1948e+05,1,0.063067,0.063067,0,0
0.5367,8.1884e+05,1,0.06319,0.06319,0,0
0.53859,8.182e+05,1,0.063312,0.063312,0,0
0.54049,8.1757e+05,1,0.063435,0.063435,0,0
0.5424,8.1691e+05,1,0.063558,0.063558,0,0
0.5443,8.1625e+05,1,0.063681,0.063681,0,0
0.54621,8.1559e+05,1,0.063804,0.063804,0,0
0.54812,8.1493e+05,1,0.063927,0.063927,0,0
0.55006,8.1427e+05,1,0.06405,0.06405,0,0
0.55201,8.1361e+05,1,0.064173,0.064173,0,0
0.55396,8.1295e+05,1,0.064296,0.064296,0,0
0.55591,8.1229e+05,1,0.064419,0.064419,0,0
0.55788,8.116e+05,1,0.064542,0.064542,0,0
0.55986,8.1091e+05,1,0.064665,0.064665,0,0
0.56183,8.1021e+05,1,0.064788,0.064788,0,0
0.56381,8.0952e+05,1,0.064911,0.064911,0,0
0.56579,8.088e+05,1,0.065034,0.065034,0,0
0.56778,8.0808e+05,1,0.065157,0.065157,0,0
0.56977,8.0735e+05,1,0.065279,0.065279,0,0
0.57175,8.0663e+05,1,0.065402,0.065402,0,0
0.57377,8.0592e+05,1,0.065525,0.065525,0,0
0.57581,8.0521e+05,1,0.065648,0.065648,0,0
0.57784,8.045e+05,1,0.065771,0.065771,0,0
0.57988,8.038e+05,1,0.065894,0.065894,0,0
0.58192,8.0305e+05,1,0.066017,0.066017,0,0
0.58397,8.0229e+05,1,0.06614,0.06614,0,0
0.58602,8.0153e+05,1,0.066263,0.066263,0,0
0.58806,8.0078e+05,1,0.066386,0.066386,0,0
0.59012,8e+05,1,0.066509,0.066509,0,0
0.59219,7.9922e+05,1,0.066632,0.066632,0,0
0.59426,7.9845e+05,1,0.066755,0.066755,0,0
0.59632,7.9767e+05,1,0.066878,0.066878,0,0
0.5984,7.9688e+05,1,0.067001,0.067001,0,0
0.60048,7.9608e+05,1,0.067123,0.067123,0,0
0.60257,7.9528e+05,1,0.067246,0.067246,0,0
0.60465,7.9448e+05,1,0.067369,0.067369,0,0
0.60675,7.9368e+05,1,0.067492,0.067492,0,0
0.60886,7.9287e+05,1,0.067615,0.067615,0,0
0.61098,7.9206e+05,1,0.067738,0.067738,0,0
0.61309,7.9125e+05,1,0.067861,0.067861,0,0
0.61522,7.9042e+05,1,0.067984,0.067984,0,0
0.61736,7.8956e+05,1,0.068107,0.068107,0,0
0.6195,7.887e+05,1,0.06823,0.06823,0,0
0.62165,7.8784e+05,1,0.068353,0.068353,0,0
0.62381,7.8699e+05,1,0.068476,0.068476,0,0
0.62598,7.8614e+05,1,0.068599,0.068599,0,0
0.62815,7.8529e+05,1,0.068722,0.068722,0,0
0.63033,7.8444e+05,1,0.068845,0.068845,0,0
0.6325,7.8357e+05,1,0.068968,0.068968,0,0
0.63468,7.8267e+05,1,0.06909,0.06909,0,0
0.63686,7.8178e+05,1,0.069213,0.069213,0,0
0.63904,7.8089e+05,1,0.069336,0.069336,0,0
0.64124,7.7999e+05,1,0.069459,0.069459,0,0
0.64346,7.791e+05,1,0.069582,0.069582,0,0
0.64567,7.782e+05,1,0.069705,0.069705,0,0
