,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
373,108.29,33517000.0,1.4643,8737.0,-1276.9,0,770280.0,-0.30153,617.58,1,0.373,0.373,0.25,0,0.19633933725854258,0.5332255249451121,550.2038088984498
374,105.57,32667000.0,1.4525,8603.2,-1369.1,0,761600.0,-0.33088,617.24,1,0.374,0.374,0.25,0,0.2180510256002013,0.541189581099153,550.2038088984498
375,103.07,31882000.0,1.4422,8479.0,-1454.0,0,753380.0,-0.35871,616.93,1,0.375,0.375,0.25,0,0.23835373148983507,0.548624917314674,550.2038088984498
376,100.7,31142000.0,1.4329,8361.2,-1533.9,0,745450.0,-0.38556,616.63,1,0.376,0.376,0.25,0,0.257271832836901,0.5556122945069066,550.2038088984498
377,98.704,30516000.0,1.426,8259.9,-1601.0,0,738340.0,-0.40962,616.38,1,0.377,0.377,0.25,0,0.27429430956754264,0.5618837046754974,550.2038088984498
378,96.804,29922000.0,1.4197,8163.4,-1664.3,0,731500.0,-0.43278,616.13,1,0.378,0.378,0.25,0,0.2899102377767001,0.5677277165229062,550.2038088984498
379,95.069,29380000.0,1.4143,8074.4,-1721.7,0,725060.0,-0.45455,615.91,1,0.379,0.379,0.25,0,0.30463284216742814,0.5732405854870284,550.2038088984498
380,93.542,28903000.0,1.4101,7995.4,-1771.7,0,719210.0,-0.47435,615.7,1,0.38,0.38,0.25,0,0.3173936995094573,0.5780986100205067,550.2038088984498
381,92.083,28447000.0,1.4062,7919.5,-1819.7,0,713570.0,-0.49343,615.51,1,0.381,0.381,0.25,0,0.3297213516425669,0.5827983766852253,550.2038088984498
382,90.771,28037000.0,1.4029,7850.6,-1863.0,0,708370.0,-0.51103,615.33,1,0.382,0.382,0.25,0,0.34071471449187374,0.5870431607378761,550.2038088984498
383,89.591,27668000.0,1.4003,7788.0,-1901.9,0,703590.0,-0.52722,615.17,1,0.383,0.383,0.25,0,0.35074203309906515,0.5909339977208713,550.2038088984498
384,88.468,27317000.0,1.3978,7728.1,-1939.1,0,699000.0,-0.54276,615.02,1,0.384,0.384,0.25,0,0.36026629916997177,0.5946520544099944,550.2038088984498
385,87.493,27013000.0,1.396,7675.5,-1971.3,0,694910.0,-0.5566,614.88,1,0.385,0.385,0.25,0,0.3684656812731306,0.597894774196202,550.2038088984498
386,86.584,26729000.0,1.3943,7626.3,-2001.2,0,691070.0,-0.56959,614.76,1,0.386,0.386,0.25,0,0.37628255699267554,0.6009804728592804,550.2038088984498
387,85.734,26464000.0,1.3928,7580.1,-2029.3,0,687440.0,-0.58188,614.64,1,0.387,0.387,0.25,0,0.38342406881055124,0.6038355394739998,550.2038088984498
388,85.039,26247000.0,1.3917,7541.8,-2052.1,0,684420.0,-0.59212,614.54,1,0.388,0.388,0.25,0,0.38928447539629507,0.6061934713945552,550.2038088984498
