,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
48,202.89,75001000.0,1.7,17306,1.0001e-11,0,1499900.0,-1.8891e-14,569.84,1,0.048,0.048,0.25,0,0.7577617356292932
49,202.89,75001000.0,1.7,17306,1.223e-11,0,1499900.0,-1.9675e-14,569.84,1,0.049,0.049,0.25,0,0.7577617356292932
50,202.89,75001000.0,1.7,17306,1.446e-11,0,1499900.0,-2.046e-14,569.84,1,0.05,0.05,0.25,0,0.7577617356292932
51,202.89,75001000.0,1.7,17306,1.6689e-11,0,1499900.0,-2.1244e-14,569.84,1,0.051,0.051,0.25,0,0.7577617356292932
52,202.89,75001000.0,1.7,17306,1.6353e-11,0,1499900.0,-2.1196e-14,569.84,1,0.052,0.052,0.25,0,0.7577617356292932
53,202.89,75001000.0,1.7,17306,1.2904e-11,0,1499900.0,-2.0147e-14,569.84,1,0.053,0.053,0.25,0,0.7577617356292932
54,202.89,75001000.0,1.7,17306,9.4545e-12,0,1499900.0,-1.9097e-14,569.84,1,0.054,0.054,0.25,0,0.7577617356292932
55,202.89,75001000.0,1.7,17306,6.0054e-12,0,1499900.0,-1.8048e-14,569.84,1,0.055,0.055,0.25,0,0.7577617356292932
56,202.89,75001000.0,1.7,17306,2.5563e-12,0,1499900.0,-1.6998e-14,569.84,1,0.056,0.056,0.25,0,0.7577617356292932
57,202.89,75001000.0,1.7,17306,-8.9284e-13,0,1499900.0,-1.5949e-14,569.84,1,0.057,0.057,0.25,0,0.7577617356292932
58,202.89,75001000.0,1.7,17306,-4.342e-12,0,1499900.0,-1.49e-14,569.84,1,0.058,0.058,0.25,0,0.7577617356292932
59,202.89,75001000.0,1.7,17306,-7.7911e-12,0,1499900.0,-1.385e-14,569.84,1,0.059,0.059,0.25,0,0.7577617356292932
60,202.89,75001000.0,1.7,17306,-1.124e-11,0,1499900.0,-1.2801e-14,569.84,1,0.06,0.06,0.25,0,0.7577617356292932
61,202.89,75001000.0,1.7,17306,-1.4689e-11,0,1499900.0,-1.1751e-14,569.84,1,0.061,0.061,0.25,0,0.7577617356292932
62,202.89,75001000.0,1.7,17306,-1.8138e-11,0,1499900.0,-1.0702e-14,569.84,1,0.062,0.062,0.25,0,0.7577617356292932
63,202.89,75001000.0,1.7,17306,-2.1588e-11,0,1499900.0,-9.6523e-15,569.84,1,0.063,0.063,0.25,0,0.7577617356292932
64,202.89,75001000.0,1.7,17306,-2.5037e-11,0,1499900.0,-8.6029e-15,569.84,1,0.064,0.064,0.25,0,0.7577617356292932
65,202.89,75001000.0,1.7,17306,-2.8486e-11,0,1499900.0,-7.5535e-15,569.84,1,0.065,0.065,0.25,0,0.7577617356292932
66,202.89,75001000.0,1.7,17306,-3.1935e-11,0,1499900.0,-6.504e-15,569.84,1,0.066,0.066,0.25,0,0.7577617356292932
67,202.89,75001000.0,1.7,17306,-3.5384e-11,0,1499900.0,-5.4546e-15,569.84,1,0.067,0.067,0.25,0,0.7577617356292932
68,202.89,75001000.0,1.7,17306,-3.8833e-11,0,1499900.0,-4.4051e-15,569.84,1,0.068,0.068,0.25,0,0.7577617356292932
69,202.89,75001000.0,1.7,17306,-2.9492e-11,0,1499900.0,-2.8938e-15,569.84,1,0.069,0.069,0.25,0,0.7577617356292932
70,202.89,75001000.0,1.7,17306,-1.7834e-11,0,1499900.0,-1.5237e-15,569.84,1,0.07,0.07,0.25,0,0.7577617356292932
71,202.89,75001000.0,1.7,17306,1.2652e-11,0,1499900.0,-1.6112e-15,569.84,1,0.071,0.071,0.25,0,0.7577617356292932
72,202.89,75001000.0,1.7,17306,4.3138e-11,0,1499900.0,-1.6988e-15,569.84,1,0.072,0.072,0.25,0,0.7577617356292932
