,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,s
50,202.89,75001000.0,1.7,17306,-2.5585e-12,0,1499900.0,-6.7207e-15,569.84,1,0.05,0.05,0.25,0,0.7577617356292932,738.0612411760285
51,202.89,75001000.0,1.7,17306,-1.8377e-12,0,1499900.0,-6.4501e-15,569.84,1,0.051,0.051,0.25,0,0.7577617356292932,738.0612411760285
52,202.89,75001000.0,1.7,17306,-1.5396e-12,0,1499900.0,-6.429e-15,569.84,1,0.052,0.052,0.25,0,0.7577617356292932,738.0612411760285
53,202.89,75001000.0,1.7,17306,-1.3427e-12,0,1499900.0,-6.8899e-15,569.84,1,0.053,0.053,0.25,0,0.7577617356292932,738.0612411760285
54,202.89,75001000.0,1.7,17306,-1.1459e-12,0,1499900.0,-7.3508e-15,569.84,1,0.054,0.054,0.25,0,0.7577617356292932,738.0612411760285
55,202.89,75001000.0,1.7,17306,-9.4903e-13,0,1499900.0,-7.8117e-15,569.84,1,0.055,0.055,0.25,0,0.7577617356292932,738.0612411760285
56,202.89,75001000.0,1.7,17306,-7.5217e-13,0,1499900.0,-8.2726e-15,569.84,1,0.056,0.056,0.25,0,0.7577617356292932,738.0612411760285
57,202.89,75001000.0,1.7,17306,-5.5532e-13,0,1499900.0,-8.7335e-15,569.84,1,0.057,0.057,0.25,0,0.7577617356292932,738.0612411760285
58,202.89,75001000.0,1.7,17306,-3.5846e-13,0,1499900.0,-9.1943e-15,569.84,1,0.058,0.058,0.25,0,0.7577617356292932,738.0612411760285
59,202.89,75001000.0,1.7,17306,-1.616e-13,0,1499900.0,-9.6552e-15,569.84,1,0.059,0.059,0.25,0,0.7577617356292932,738.0612411760285
60,202.89,75001000.0,1.7,17306,3.5253e-14,0,1499900.0,-1.0116e-14,569.84,1,0.06,0.06,0.25,0,0.7577617356292932,738.0612411760285
61,202.89,75001000.0,1.7,17306,2.3211e-13,0,1499900.0,-1.0577e-14,569.84,1,0.061,0.061,0.25,0,0.7577617356292932,738.0612411760285
62,202.89,75001000.0,1.7,17306,4.2897e-13,0,1499900.0,-1.1038e-14,569.84,1,0.062,0.062,0.25,0,0.7577617356292932,738.0612411760285
63,202.89,75001000.0,1.7,17306,6.2582e-13,0,1499900.0,-1.1499e-14,569.84,1,0.063,0.063,0.25,0,0.7577617356292932,738.0612411760285
64,202.89,75001000.0,1.7,17306,8.2268e-13,0,1499900.0,-1.196e-14,569.84,1,0.064,0.064,0.25,0,0.7577617356292932,738.0612411760285
65,202.89,75001000.0,1.7,17306,1.0195e-12,0,1499900.0,-1.2421e-14,569.84,1,0.065,0.065,0.25,0,0.7577617356292932,738.0612411760285
66,202.89,75001000.0,1.7,17306,1.2164e-12,0,1499900.0,-1.2882e-14,569.84,1,0.066,0.066,0.25,0,0.7577617356292932,738.0612411760285
67,202.89,75001000.0,1.7,17306,1.4133e-12,0,1499900.0,-1.3342e-14,569.84,1,0.067,0.067,0.25,0,0.7577617356292932,738.0612411760285
68,202.89,75001000.0,1.7,17306,1.6101e-12,0,1499900.0,-1.3803e-14,569.84,1,0.068,0.068,0.25,0,0.7577617356292932,738.0612411760285
69,202.89,75001000.0,1.7,17306,2.4945e-12,0,1499900.0,-1.4092e-14,569.84,1,0.069,0.069,0.25,0,0.7577617356292932,738.0612411760285
70,202.89,75001000.0,1.7,17306,3.5213e-12,0,1499900.0,-1.4345e-14,569.84,1,0.07,0.07,0.25,0,0.7577617356292932,738.0612411760285
71,202.89,75001000.0,1.7,17306,4.2524e-12,0,1499900.0,-1.4071e-14,569.84,1,0.071,0.071,0.25,0,0.7577617356292932,738.0612411760285
72,202.89,75001000.0,1.7,17306,4.9623e-12,0,1499900.0,-1.3758e-14,569.84,1,0.072,0.072,0.25,0,0.7577617356292932,738.0612411760285
73,202.89,75001000.0,1.7,17306,5.6723e-12,0,1499900.0,-1.3446e-14,569.84,1,0.073,0.073,0.25,0,0.7577617356292932,738.0612411760285
74,202.89,75001000.0,1.7,17306,6.3822e-12,0,1499900.0,-1.3134e-14,569.84,1,0.074,0.074,0.25,0,0.7577617356292932,738.0612411760285
75,202.89,75001000.0,1.7,17306,7.0922e-12,0,1499900.0,-1.2822e-14,569.84,1,0.075,0.075,0.25,0,0.7577617356292932,738.0612411760285
76,202.89,75001000.0,1.7,17306,7.8021e-12,0,1499900.0,-1.251e-14,569.84,1,0.076,0.076,0.25,0,0.7577617356292932,738.0612411760285
77,202.89,75001000.0,1.7,17306,8.512e-12,0,1499900.0,-1.2197e-14,569.84,1,0.077,0.077,0.25,0,0.7577617356292932,738.0612411760285
78,202.89,75001000.0,1.7,17306,9.222e-12,0,1499900.0,-1.1885e-14,569.84,1,0.078,0.078,0.25,0,0.7577617356292932,738.0612411760285
