"<greek>m</greek>","<greek>m</greek><sub>t</sub>","C<sub>f</sub>_x","C<sub>f</sub>_y","C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Mach","Pressure","Temperature","h","p","y<sup>+</sup>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.716e-05,3.246e-10,0,0,-3.206e+16,71.553,1112.1,0.036802,2.4149e+07,1.0001e-10,0.32448,0.17783,8.9524e+05,541.88,0,0.99031,0,1,0.0045487,0.0045487,0,0
1.716e-05,3.5475e-10,0,0,-3.2089e+16,71.552,1112.4,0.040144,2.4149e+07,1.0001e-10,0.34444,0.17789,8.9524e+05,541.88,0,0.99031,0,1,0.0046716,0.0046716,0,0
1.716e-05,3.849e-10,0,0,-3.2117e+16,71.551,1112.8,0.043485,2.4148e+07,1.0001e-10,0.3644,0.17795,8.9523e+05,541.88,0,0.9903,0,1,0.0047945,0.0047945,0,0
1.716e-05,4.2141e-10,0,0,-3.2147e+16,71.55,1113.2,0.045478,2.4148e+07,1.0001e-10,0.38638,0.17801,8.9522e+05,541.88,0,0.99029,0,1,0.0049175,0.0049175,0,0
1.716e-05,4.7105e-10,0,0,-3.218e+16,71.549,1113.6,0.044682,2.4148e+07,1.0001e-10,0.41254,0.17808,8.9521e+05,541.88,0,0.99028,0,1,0.0050404,0.0050404,0,0
1.716e-05,5.2069e-10,0,0,-3.2212e+16,71.547,1114,0.043886,2.4147e+07,1.0001e-10,0.4387,0.17815,8.952e+05,541.88,0,0.99027,0,1,0.0051634,0.0051634,0,0
1.716e-05,5.7034e-10,0,0,-3.2244e+16,71.546,1114.4,0.04309,2.4147e+07,1.0001e-10,0.46486,0.17821,8.9519e+05,541.88,0,0.99026,0,1,0.0052863,0.0052863,0,0
1.716e-05,6.1998e-10,0,0,-3.2277e+16,71.545,1114.8,0.042294,2.4146e+07,1.0001e-10,0.49102,0.17828,8.9519e+05,541.88,0,0.99025,0,1,0.0054092,0.0054092,0,0
1.716e-05,6.6963e-10,0,0,-3.2309e+16,71.544,1115.3,0.041498,2.4146e+07,1.0001e-10,0.51718,0.17835,8.9518e+05,541.88,0,0.99024,0,1,0.0055322,0.0055322,0,0
1.716e-05,7.376e-10,0,0,-3.2345e+16,71.543,1115.7,0.040853,2.4146e+07,1.0001e-10,0.54842,0.17842,8.9517e+05,541.87,0,0.99023,0,1,0.0056551,0.0056551,0,0
1.716e-05,8.151e-10,0,0,-3.2383e+16,71.541,1116.2,0.040286,2.4145e+07,1.0001e-10,0.58229,0.1785,8.9516e+05,541.87,0,0.99022,0,1,0.005778,0.005778,0,0
1.716e-05,8.926e-10,0,0,-3.2421e+16,71.54,1116.7,0.03972,2.4145e+07,1.0001e-10,0.61616,0.17858,8.9515e+05,541.87,0,0.99021,0,1,0.005901,0.005901,0,0
1.716e-05,9.701e-10,0,0,-3.2459e+16,71.539,1117.1,0.039153,2.4144e+07,1.0001e-10,0.65003,0.17866,8.9514e+05,541.87,0,0.99019,0,1,0.0060239,0.0060239,0,0
