,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
490,203.57,317330000.0,1.6978,16343,24.255,0,1501400.0,0.0023226,569.42,1,0.49,0.49,0.4,0,1.3910784640501488
491,203.58,317350000.0,1.6977,16344,24.698,0,1501400.0,0.0023632,569.42,1,0.491,0.491,0.4,0,1.3910784640501488
492,203.59,317370000.0,1.6977,16344,25.141,0,1501500.0,0.0024038,569.42,1,0.492,0.492,0.4,0,1.3944678489409597
493,203.6,317390000.0,1.6977,16345,25.584,0,1501500.0,0.0024445,569.42,1,0.493,0.493,0.4,0,1.3944678489409597
494,203.62,317410000.0,1.6976,16345,26.027,0,1501500.0,0.0024851,569.42,1,0.494,0.494,0.4,0,1.3944678489409597
495,203.63,317430000.0,1.6976,16346,26.471,0,1501600.0,0.0025257,569.42,1,0.495,0.495,0.4,0,1.3978666173656558
496,203.64,317450000.0,1.6975,16346,26.914,0,1501600.0,0.0025663,569.42,1,0.496,0.496,0.4,0,1.3978666173656558
497,203.65,317460000.0,1.6975,16347,27.357,0,1501600.0,0.0026069,569.43,1,0.497,0.497,0.4,0,1.3919521274035662
498,203.66,317480000.0,1.6975,16348,27.8,0,1501600.0,0.0026476,569.43,1,0.498,0.498,0.4,0,1.3919521274035662
499,203.68,317500000.0,1.6974,16348,28.243,0,1501700.0,0.0026882,569.43,1,0.499,0.499,0.4,0,1.3953373704160001
500,203.69,317520000.0,1.6974,16349,28.686,0,1501700.0,0.0027288,569.43,1,0.5,0.5,0.4,0,1.3953373704160001
501,203.7,317540000.0,1.6973,16349,29.129,0,1501700.0,0.0027694,569.43,1,0.501,0.501,0.4,0,1.3953373704160001
502,203.71,317560000.0,1.6973,16350,29.572,0,1501700.0,0.00281,569.43,1,0.502,0.502,0.4,0,1.3953373704160001
503,203.69,317530000.0,1.6974,16349,28.931,0,1501700.0,0.0027486,569.43,1,0.503,0.503,0.4,0,1.3953373704160001
504,203.66,317480000.0,1.6975,16347,27.708,0,1501600.0,0.0026325,569.43,1,0.504,0.504,0.4,0,1.3919521274035662
505,203.63,317420000.0,1.6976,16346,26.485,0,1501500.0,0.0025164,569.42,1,0.505,0.505,0.4,0,1.3944678489409597
506,203.59,317370000.0,1.6977,16344,25.262,0,1501500.0,0.0024002,569.42,1,0.506,0.506,0.4,0,1.3944678489409597
507,203.56,317320000.0,1.6978,16342,24.082,0,1501400.0,0.0022885,569.42,1,0.507,0.507,0.4,0,1.3910784640501488
508,203.53,317270000.0,1.6979,16341,22.949,0,1501300.0,0.0021814,569.42,1,0.508,0.508,0.4,0,1.387698484027466
509,203.5,317220000.0,1.698,16339,21.815,0,1501300.0,0.0020742,569.41,1,0.509,0.509,0.4,0,1.3935954985279255
510,203.46,317170000.0,1.6981,16338,20.682,0,1501200.0,0.0019671,569.41,1,0.51,0.51,0.4,0,1.3902019757869486
511,203.43,317120000.0,1.6982,16336,19.548,0,1501100.0,0.00186,569.41,1,0.511,0.511,0.4,0,1.3868179088425403
512,203.4,317070000.0,1.6983,16335,18.415,0,1501000.0,0.0017529,569.41,1,0.512,0.512,0.4,0,1.383443317987386
513,203.37,317020000.0,1.6984,16333,17.281,0,1501000.0,0.0016457,569.4,1,0.513,0.513,0.4,0,1.389322655600373
514,203.34,316970000.0,1.6985,16331,16.148,0,1500900.0,0.0015386,569.4,1,0.514,0.514,0.4,0,1.3859345061054036
515,203.31,316930000.0,1.6986,16330,15.015,0,1500800.0,0.0014315,569.4,1,0.515,0.515,0.4,0,1.382555883644689
516,203.28,316880000.0,1.6987,16328,13.881,0,1500800.0,0.0013244,569.4,1,0.516,0.516,0.4,0,1.382555883644689
517,203.24,316830000.0,1.6988,16327,12.748,0,1500700.0,0.0012173,569.39,1,0.517,0.517,0.4,0,1.3850482689276222
518,203.21,316780000.0,1.6989,16325,11.614,0,1500600.0,0.0011101,569.39,1,0.518,0.518,0.4,0,1.3816656195731614
519,203.18,316730000.0,1.699,16324,10.481,0,1500600.0,0.001003,569.39,1,0.519,0.519,0.4,0,1.3816656195731614
520,203.15,316680000.0,1.6991,16322,9.3644,0,1500500.0,0.00089775,569.39,1,0.52,0.52,0.4,0,1.3782925674506223
521,203.12,316630000.0,1.6992,16321,8.2504,0,1500400.0,0.00079273,569.38,1,0.521,0.521,0.4,0,1.3807725190122562
522,203.09,316580000.0,1.6993,16319,7.1363,0,1500400.0,0.0006877,569.38,1,0.522,0.522,0.4,0,1.3807725190122562
523,203.06,316540000.0,1.6994,16318,6.0223,0,1500300.0,0.00058268,569.38,1,0.523,0.523,0.4,0,1.3773954959961663
524,203.03,316490000.0,1.6995,16316,4.9083,0,1500200.0,0.00047766,569.38,1,0.524,0.524,0.4,0,1.3740281393546518
525,203.0,316440000.0,1.6996,16315,3.8448,0,1500100.0,0.00037947,569.37,1,0.525,0.525,0.4,0,1.376495586471505
526,202.97,316400000.0,1.6997,16313,2.7883,0,1500100.0,0.00028224,569.37,1,0.526,0.526,0.4,0,1.376495586471505
527,202.88,316260000.0,1.7,16309,-0.49084,0,1499900.0,-1.8905e-05,569.36,1,0.527,0.527,0.4,0,1.375592832261582
