"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.915,1.7421e+05,1,3.5738,3.5738,0,0
1.9152,1.7414e+05,1,3.58,3.58,0,0
1.9154,1.7407e+05,1,3.5862,3.5862,0,0
1.9157,1.7399e+05,1,3.5923,3.5923,0,0
1.9159,1.7392e+05,1,3.5985,3.5985,0,0
1.9161,1.7385e+05,1,3.6047,3.6047,0,0
1.9164,1.7378e+05,1,3.6108,3.6108,0,0
1.9166,1.7371e+05,1,3.617,3.617,0,0
1.9168,1.7363e+05,1,3.6231,3.6231,0,0
1.9171,1.7355e+05,1,3.6293,3.6293,0,0
1.9173,1.7348e+05,1,3.6355,3.6355,0,0
1.9176,1.734e+05,1,3.6416,3.6416,0,0
1.9178,1.7332e+05,1,3.6478,3.6478,0,0
1.9181,1.7324e+05,1,3.6539,3.6539,0,0
1.9183,1.7316e+05,1,3.6601,3.6601,0,0
1.9186,1.7308e+05,1,3.6663,3.6663,0,0
1.9189,1.73e+05,1,3.6724,3.6724,0,0
1.9191,1.7291e+05,1,3.6786,3.6786,0,0
1.9194,1.7283e+05,1,3.6848,3.6848,0,0
1.9197,1.7274e+05,1,3.6909,3.6909,0,0
1.92,1.7266e+05,1,3.6971,3.6971,0,0
1.9202,1.7257e+05,1,3.7032,3.7032,0,0
1.9205,1.7249e+05,1,3.7094,3.7094,0,0
1.9208,1.724e+05,1,3.7156,3.7156,0,0
1.9211,1.7232e+05,1,3.7217,3.7217,0,0
1.9214,1.7223e+05,1,3.7279,3.7279,0,0
1.9217,1.7214e+05,1,3.7341,3.7341,0,0
1.922,1.7206e+05,1,3.7402,3.7402,0,0
1.9223,1.7197e+05,1,3.7464,3.7464,0,0
1.9225,1.7188e+05,1,3.7525,3.7525,0,0
1.9228,1.718e+05,1,3.7587,3.7587,0,0
1.9231,1.7171e+05,1,3.7649,3.7649,0,0
1.9234,1.7162e+05,1,3.771,3.771,0,0
1.9237,1.7153e+05,1,3.7772,3.7772,0,0
1.924,1.7144e+05,1,3.7833,3.7833,0,0
1.9243,1.7135e+05,1,3.7895,3.7895,0,0
1.9247,1.7125e+05,1,3.7957,3.7957,0,0
1.925,1.7116e+05,1,3.8018,3.8018,0,0
1.9253,1.7107e+05,1,3.808,3.808,0,0
1.9256,1.7097e+05,1,3.8142,3.8142,0,0
1.9259,1.7088e+05,1,3.8203,3.8203,0,0
1.9262,1.7079e+05,1,3.8265,3.8265,0,0
1.9265,1.707e+05,1,3.8326,3.8326,0,0
1.9268,1.7061e+05,1,3.8388,3.8388,0,0
1.9271,1.7052e+05,1,3.845,3.845,0,0
1.9274,1.7043e+05,1,3.8511,3.8511,0,0
1.9277,1.7034e+05,1,3.8573,3.8573,0,0
1.9281,1.7025e+05,1,3.8634,3.8634,0,0
1.9284,1.7016e+05,1,3.8696,3.8696,0,0
1.9287,1.7006e+05,1,3.8758,3.8758,0,0
1.929,1.6997e+05,1,3.8819,3.8819,0,0
1.9293,1.6988e+05,1,3.8881,3.8881,0,0
1.9296,1.6978e+05,1,3.8943,3.8943,0,0
1.9299,1.6969e+05,1,3.9004,3.9004,0,0
1.9302,1.696e+05,1,3.9066,3.9066,0,0
1.9305,1.6951e+05,1,3.9127,3.9127,0,0
1.9309,1.6941e+05,1,3.9189,3.9189,0,0
1.9312,1.6932e+05,1,3.9251,3.9251,0,0
1.9315,1.6924e+05,1,3.9312,3.9312,0,0
1.9318,1.6915e+05,1,3.9374,3.9374,0,0
1.9321,1.6906e+05,1,3.9436,3.9436,0,0
1.9324,1.6897e+05,1,3.9497,3.9497,0,0
1.9327,1.6888e+05,1,3.9559,3.9559,0,0
1.933,1.6879e+05,1,3.962,3.962,0,0
1.9333,1.687e+05,1,3.9682,3.9682,0,0
1.9335,1.6862e+05,1,3.9744,3.9744,0,0
1.9338,1.6853e+05,1,3.9805,3.9805,0,0
1.9341,1.6845e+05,1,3.9867,3.9867,0,0
1.9344,1.6837e+05,1,3.9928,3.9928,0,0
1.9347,1.6828e+05,1,3.999,3.999,0,0
1.935,1.682e+05,1,4.0052,4.0052,0,0
1.9353,1.6812e+05,1,4.0113,4.0113,0,0
1.9355,1.6803e+05,1,4.0175,4.0175,0,0
1.9358,1.6796e+05,1,4.0237,4.0237,0,0
1.9361,1.6788e+05,1,4.0298,4.0298,0,0
1.9363,1.678e+05,1,4.036,4.036,0,0
1.9366,1.6773e+05,1,4.0421,4.0421,0,0
1.9369,1.6765e+05,1,4.0483,4.0483,0,0
1.9371,1.6758e+05,1,4.0545,4.0545,0,0
1.9374,1.675e+05,1,4.0606,4.0606,0,0
1.9376,1.6743e+05,1,4.0668,4.0668,0,0
1.9379,1.6735e+05,1,4.0729,4.0729,0,0
1.9381,1.6728e+05,1,4.0791,4.0791,0,0
1.9384,1.6721e+05,1,4.0853,4.0853,0,0
1.9386,1.6714e+05,1,4.0914,4.0914,0,0
1.9389,1.6707e+05,1,4.0976,4.0976,0,0
1.9391,1.67e+05,1,4.1038,4.1038,0,0
1.9393,1.6693e+05,1,4.1099,4.1099,0,0
1.9396,1.6686e+05,1,4.1161,4.1161,0,0
1.9398,1.668e+05,1,4.1222,4.1222,0,0
1.94,1.6674e+05,1,4.1284,4.1284,0,0
1.9402,1.6667e+05,1,4.1346,4.1346,0,0
1.9405,1.6661e+05,1,4.1407,4.1407,0,0
1.9407,1.6655e+05,1,4.1469,4.1469,0,0
1.9409,1.6649e+05,1,4.1531,4.1531,0,0
1.9411,1.6643e+05,1,4.1592,4.1592,0,0
1.9413,1.6637e+05,1,4.1654,4.1654,0,0
1.9415,1.6631e+05,1,4.1715,4.1715,0,0
1.9417,1.6626e+05,1,4.1777,4.1777,0,0
1.9419,1.662e+05,1,4.1839,4.1839,0,0
1.9421,1.6615e+05,1,4.19,4.19,0,0
1.9422,1.661e+05,1,4.1962,4.1962,0,0
1.9424,1.6604e+05,1,4.2023,4.2023,0,0
1.9426,1.6599e+05,1,4.2085,4.2085,0,0
1.9428,1.6593e+05,1,4.2147,4.2147,0,0
1.943,1.6588e+05,1,4.2208,4.2208,0,0
1.9431,1.6584e+05,1,4.227,4.227,0,0
1.9433,1.6579e+05,1,4.2332,4.2332,0,0
1.9434,1.6575e+05,1,4.2393,4.2393,0,0
1.9436,1.657e+05,1,4.2455,4.2455,0,0
1.9438,1.6566e+05,1,4.2516,4.2516,0,0
1.9439,1.6561e+05,1,4.2578,4.2578,0,0
1.9441,1.6557e+05,1,4.264,4.264,0,0
1.9442,1.6553e+05,1,4.2701,4.2701,0,0
1.9443,1.6549e+05,1,4.2763,4.2763,0,0
1.9445,1.6545e+05,1,4.2825,4.2825,0,0
1.9446,1.6542e+05,1,4.2886,4.2886,0,0
1.9447,1.6538e+05,1,4.2948,4.2948,0,0
1.9449,1.6534e+05,1,4.3009,4.3009,0,0
1.945,1.6531e+05,1,4.3071,4.3071,0,0
1.9451,1.6527e+05,1,4.3133,4.3133,0,0
1.9452,1.6523e+05,1,4.3194,4.3194,0,0
1.9453,1.6521e+05,1,4.3256,4.3256,0,0
1.9454,1.6518e+05,1,4.3317,4.3317,0,0
1.9455,1.6515e+05,1,4.3379,4.3379,0,0
1.9456,1.6512e+05,1,4.3441,4.3441,0,0
1.9457,1.6509e+05,1,4.3502,4.3502,0,0
1.9458,1.6506e+05,1,4.3564,4.3564,0,0
1.9459,1.6503e+05,1,4.3626,4.3626,0,0
1.946,1.6501e+05,1,4.3687,4.3687,0,0
1.9461,1.6498e+05,1,4.3749,4.3749,0,0
1.9462,1.6496e+05,1,4.381,4.381,0,0
1.9462,1.6494e+05,1,4.3872,4.3872,0,0
1.9463,1.6492e+05,1,4.3934,4.3934,0,0
1.9464,1.649e+05,1,4.3995,4.3995,0,0
1.9464,1.6488e+05,1,4.4057,4.4057,0,0
1.9465,1.6486e+05,1,4.4118,4.4118,0,0
1.9466,1.6483e+05,1,4.418,4.418,0,0
1.9466,1.6482e+05,1,4.4242,4.4242,0,0
1.9467,1.6481e+05,1,4.4303,4.4303,0,0
1.9467,1.6479e+05,1,4.4365,4.4365,0,0
1.9468,1.6478e+05,1,4.4427,4.4427,0,0
1.9468,1.6476e+05,1,4.4488,4.4488,0,0
1.9469,1.6475e+05,1,4.455,4.455,0,0
