"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
1808, 5.283336860304044e-01, 2.215181804576484e-01, 1.426373419539071e+02, 1.081822533756447e+04, -1.878333878603577e+03, 7.971251298076801e+07, 7.148262303456168e+05, 6.405521873823903e+02, -2.048807365587738e-01, 1.809374900732427e+00
1809, 4.699765200425386e-01, 2.340297180783624e-01, 1.514292956154406e+02, 1.142278143310825e+04, -1.632433573206168e+03, 8.466037268243188e+07, 7.300924613692407e+05, 6.422615546947468e+02, -1.752187880055073e-01, 1.859797281816205e+00
1810, 5.400066831294770e-01, 9.307508122944235e-01, 2.093782749248423e+02, 1.468046458842262e+04, -1.932099518026854e+00, 1.172456472939106e+08, 8.200661541658901e+05, 6.524133104868697e+02, -4.018968716202416e-04, 1.701280545035576e+00
1811, 4.504727717795930e-01, 2.381749433614767e-01, 1.557328123647688e+02, 1.171341195333612e+04, -1.510174920449984e+03, 8.708224370856908e+07, 7.371734499166068e+05, 6.430779966083936e+02, -1.614605841847200e-01, 1.879698425229139e+00
1812, 5.200040668594994e-01, 9.307472080869836e-01, 2.094066080645111e+02, 1.468153624755073e+04, -1.473201455835964e+00, 1.172615598203596e+08, 8.201142822209136e+05, 6.524179393519753e+02, -3.083851273091158e-04, 1.700985218884630e+00
1813, 4.308758603163312e-01, 2.422769548744764e-01, 1.609148018494118e+02, 1.205793301730140e+04, -1.361444000972760e+03, 8.999839974556351e+07, 7.454303018451217e+05, 6.440449041070754e+02, -1.454177038734923e-01, 1.898416452567806e+00
1814, 5.000022844517595e-01, 9.307450739519800e-01, 2.094289666976124e+02, 1.468237569527483e+04, -1.112244983200766e+00, 1.172741165040741e+08, 8.201522694122074e+05, 6.524215919486969e+02, -2.345768564859006e-04, 1.700751401387553e+00
1815, 4.110981787154307e-01, 2.462957987029092e-01, 1.670425547811924e+02, 1.245672486106120e+04, -1.183466310011166e+03, 9.344657912373291e+07, 7.548990507827192e+05, 6.451669736393562e+02, -1.270201345313153e-01, 1.912031995682796e+00
1816, 4.800014707404701e-01, 9.307438143229675e-01, 2.094464428717127e+02, 1.468302701744855e+04, -8.314395391654207e-01, 1.172839308518015e+08, 8.201819660875713e+05, 6.524244468071589e+02, -1.768768743826038e-04, 1.700568058464219e+00
1817, 3.910262990083656e-01, 2.501751826764833e-01, 1.740698228058466e+02, 1.290075366809425e+04, -9.765948596567338e+02, 9.740051888597985e+07, 7.654955680495754e+05, 6.464274499842351e+02, -1.064313363186521e-01, 1.914878083837380e+00
