"Mach","Pressure","Temperature","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.4002,12021,102.26,1.6216,1,18.64,10.54,0,0
3.4166,11734,101.57,1.6329,1,18.714,10.614,0,0
3.4326,11478,100.9,1.6441,1,18.787,10.687,0,0
3.4487,11222,100.24,1.6554,1,18.86,10.76,0,0
3.4648,10966,99.577,1.6666,1,18.933,10.833,0,0
3.4814,10705,98.895,1.6778,1,19.006,10.906,0,0
3.5047,10378,97.979,1.6891,1,19.079,10.979,0,0
3.528,10051,97.063,1.7003,1,19.152,11.052,0,0
3.5513,9724.8,96.148,1.7116,1,19.225,11.125,0,0
3.5745,9398.2,95.232,1.7228,1,19.298,11.198,0,0
3.6007,9063,94.215,1.7341,1,19.372,11.271,0,0
3.6277,8725.4,93.17,1.7453,1,19.445,11.345,0,0
3.6525,8419.6,92.2,1.7566,1,19.518,11.418,0,0
3.6729,8179.6,91.419,1.7678,1,19.591,11.491,0,0
3.6936,7959.3,90.681,1.7791,1,19.664,11.564,0,0
3.7184,7678.1,89.749,1.7903,1,19.737,11.637,0,0
2.5693,18182,142.47,1.8016,1,19.81,11.71,0,0
0.85067,76602,277.85,1.8128,1,19.883,11.783,0,0
0.39333,1.167e+05,325.06,1.824,1,19.956,11.856,0,0
0.29676,1.2517e+05,332.82,1.8353,1,20.029,11.929,0,0
0.26945,1.2672e+05,333.21,1.8465,1,20.103,12.002,0,0
0.24067,1.2557e+05,331.34,1.8578,1,20.176,12.076,0,0
0.21189,1.244e+05,329.44,1.869,1,20.249,12.149,0,0
0.20564,1.2622e+05,331.15,1.8803,1,20.322,12.222,0,0
0.20401,1.2867e+05,333.6,1.8915,1,20.395,12.295,0,0
0.20239,1.3111e+05,336.05,1.9028,1,20.468,12.368,0,0
0.20076,1.3355e+05,338.5,1.914,1,20.541,12.441,0,0
0.19913,1.3599e+05,340.95,1.9253,1,20.614,12.514,0,0
0.19751,1.3844e+05,343.4,1.9365,1,20.687,12.587,0,0
0.19588,1.4088e+05,345.85,1.9478,1,20.76,12.66,0,0
0.19425,1.4332e+05,348.3,1.959,1,20.833,12.733,0,0
0.19324,1.4569e+05,350.43,1.9702,1,20.907,12.807,0,0
0.19658,1.4754e+05,350.26,1.9815,1,20.98,12.88,0,0
0.19992,1.4939e+05,350.08,1.9927,1,21.053,12.953,0,0
0.20326,1.5123e+05,349.91,2.004,1,21.126,13.026,0,0
0.20661,1.5308e+05,349.73,2.0152,1,21.199,13.099,0,0
0.20995,1.5493e+05,349.56,2.0265,1,21.272,13.172,0,0
0.21329,1.5678e+05,349.38,2.0377,1,21.345,13.245,0,0
0.21663,1.5862e+05,349.2,2.049,1,21.418,13.318,0,0
0.21997,1.6047e+05,349.03,2.0602,1,21.491,13.391,0,0
