"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          31, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.58841186e-01, 1.64593877e+00, 5.28123475e-01, 3.41350424e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0103764881
          32, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.59295084e-01, 1.64526896e+00, 5.38818701e-01, 3.41294261e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0106426963
          33, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.59725892e-01, 1.64462802e+00, 5.48870555e-01, 3.41240616e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0109312456
          34, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.60136900e-01, 1.64401249e+00, 5.58312399e-01, 3.41189151e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0111966455
          35, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.60530995e-01, 1.64341927e+00, 5.67174565e-01, 3.41139570e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0114883998
          36, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.60910719e-01, 1.64284552e+00, 5.75484976e-01, 3.41091615e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0117520639
          37, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.61278298e-01, 1.64228854e+00, 5.83268408e-01, 3.41045061e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0120392556
          38, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.61635686e-01, 1.64174608e+00, 5.90549167e-01, 3.40999709e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0123189214
          39, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.61984584e-01, 1.64121613e+00, 5.97350585e-01, 3.40955389e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0125889245
          40, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.62326478e-01, 1.64069678e+00, 6.03693176e-01, 3.40911950e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0128765204
