,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
74,202.89,321770000.0,1.7,12915.0,1.0025e-10,0,1499900.0,3.4553e-14,571.71,1,0.074,0.074,0.4,0,0.7577617356292932
75,202.89,321770000.0,1.7,12915.0,1.0439e-10,0,1499900.0,3.5605e-14,571.71,1,0.075,0.075,0.4,0,0.7577617356292932
76,202.89,321770000.0,1.7,12915.0,1.0854e-10,0,1499900.0,3.6657e-14,571.71,1,0.076,0.076,0.4,0,0.7577617356292932
77,202.89,321770000.0,1.7,12915.0,1.1268e-10,0,1499900.0,3.7709e-14,571.71,1,0.077,0.077,0.4,0,0.7577617356292932
78,202.89,321770000.0,1.7,12915.0,1.1682e-10,0,1499900.0,3.876e-14,571.71,1,0.078,0.078,0.4,0,0.7577617356292932
79,202.89,321770000.0,1.7,12915.0,1.2096e-10,0,1499900.0,3.9812e-14,571.71,1,0.079,0.079,0.4,0,0.7577617356292932
80,202.89,321770000.0,1.7,12915.0,1.251e-10,0,1499900.0,4.0864e-14,571.71,1,0.08,0.08,0.4,0,0.7577617356292932
81,202.89,321770000.0,1.7,12915.0,1.2924e-10,0,1499900.0,4.1916e-14,571.71,1,0.081,0.081,0.4,0,0.7577617356292932
82,202.89,321770000.0,1.7,12915.0,1.3338e-10,0,1499900.0,4.2967e-14,571.71,1,0.082,0.082,0.4,0,0.7577617356292932
83,202.89,321770000.0,1.7,12915.0,1.3752e-10,0,1499900.0,4.4019e-14,571.71,1,0.083,0.083,0.4,0,0.7577617356292932
84,202.89,321770000.0,1.7,12915.0,1.4166e-10,0,1499900.0,4.5071e-14,571.71,1,0.084,0.084,0.4,0,0.7577617356292932
85,202.89,321770000.0,1.7,12915.0,1.458e-10,0,1499900.0,4.6123e-14,571.71,1,0.085,0.085,0.4,0,0.7577617356292932
86,202.89,321770000.0,1.7,12915.0,1.4994e-10,0,1499900.0,4.7174e-14,571.71,1,0.086,0.086,0.4,0,0.7577617356292932
87,202.89,321770000.0,1.7,12915.0,1.4807e-10,0,1499900.0,4.6382e-14,571.71,1,0.087,0.087,0.4,0,0.7577617356292932
88,202.89,321770000.0,1.7,12915.0,1.4108e-10,0,1499900.0,4.4016e-14,571.71,1,0.088,0.088,0.4,0,0.7577617356292932
89,202.89,321770000.0,1.7,12915.0,1.3408e-10,0,1499900.0,4.165e-14,571.71,1,0.089,0.089,0.4,0,0.7577617356292932
90,202.89,321770000.0,1.7,12915.0,1.2708e-10,0,1499900.0,3.9284e-14,571.71,1,0.09,0.09,0.4,0,0.7577617356292932
91,202.89,321770000.0,1.7,12915.0,1.2008e-10,0,1499900.0,3.6917e-14,571.71,1,0.091,0.091,0.4,0,0.7577617356292932
92,202.89,321770000.0,1.7,12915.0,1.1309e-10,0,1499900.0,3.4551e-14,571.71,1,0.092,0.092,0.4,0,0.7577617356292932
93,202.89,321770000.0,1.7,12915.0,1.0609e-10,0,1499900.0,3.2185e-14,571.71,1,0.093,0.093,0.4,0,0.7577617356292932
94,202.89,321770000.0,1.7,12915.0,9.9092e-11,0,1499900.0,2.9819e-14,571.71,1,0.094,0.094,0.4,0,0.7577617356292932
95,202.89,321770000.0,1.7,12915.0,9.2094e-11,0,1499900.0,2.7453e-14,571.71,1,0.095,0.095,0.4,0,0.7577617356292932
96,202.89,321770000.0,1.7,12915.0,8.5097e-11,0,1499900.0,2.5087e-14,571.71,1,0.096,0.096,0.4,0,0.7577617356292932
97,202.89,321770000.0,1.7,12915.0,7.81e-11,0,1499900.0,2.2721e-14,571.71,1,0.097,0.097,0.4,0,0.7577617356292932
