"Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1994,8.9304e+05,541.81,0.98787,1,0.020162,0.020162,0,0
0.19969,8.93e+05,541.81,0.98784,1,0.020285,0.020285,0,0
0.19997,8.9297e+05,541.81,0.9878,1,0.020408,0.020408,0,0
0.20026,8.9294e+05,541.81,0.98777,1,0.02053,0.02053,0,0
0.20055,8.9291e+05,541.81,0.98773,1,0.020653,0.020653,0,0
0.20084,8.9288e+05,541.81,0.98769,1,0.020776,0.020776,0,0
0.20113,8.9284e+05,541.81,0.98766,1,0.020899,0.020899,0,0
0.20143,8.9281e+05,541.81,0.98762,1,0.021022,0.021022,0,0
0.20173,8.9278e+05,541.81,0.98758,1,0.021145,0.021145,0,0
0.20204,8.9274e+05,541.8,0.98755,1,0.021268,0.021268,0,0
0.20234,8.9271e+05,541.8,0.98751,1,0.021391,0.021391,0,0
0.20264,8.9267e+05,541.8,0.98747,1,0.021514,0.021514,0,0
0.20295,8.9264e+05,541.8,0.98743,1,0.021637,0.021637,0,0
0.20326,8.926e+05,541.8,0.98739,1,0.02176,0.02176,0,0
0.20358,8.9257e+05,541.8,0.98735,1,0.021883,0.021883,0,0
0.20389,8.9253e+05,541.8,0.98731,1,0.022006,0.022006,0,0
0.20421,8.925e+05,541.8,0.98727,1,0.022129,0.022129,0,0
0.20453,8.9246e+05,541.8,0.98723,1,0.022252,0.022252,0,0
0.20485,8.9242e+05,541.8,0.98719,1,0.022375,0.022375,0,0
0.20518,8.9238e+05,541.79,0.98715,1,0.022497,0.022497,0,0
0.20551,8.9235e+05,541.79,0.98711,1,0.02262,0.02262,0,0
0.20584,8.9231e+05,541.79,0.98707,1,0.022743,0.022743,0,0
0.20617,8.9227e+05,541.79,0.98703,1,0.022866,0.022866,0,0
0.2065,8.9223e+05,541.79,0.98698,1,0.022989,0.022989,0,0
0.20684,8.9219e+05,541.79,0.98694,1,0.023112,0.023112,0,0
0.20718,8.9215e+05,541.79,0.9869,1,0.023235,0.023235,0,0
0.20753,8.9211e+05,541.79,0.98685,1,0.023358,0.023358,0,0
0.20787,8.9208e+05,541.79,0.98681,1,0.023481,0.023481,0,0
0.20821,8.9204e+05,541.78,0.98676,1,0.023604,0.023604,0,0
0.20856,8.9199e+05,541.78,0.98672,1,0.023727,0.023727,0,0
0.20892,8.9195e+05,541.78,0.98667,1,0.02385,0.02385,0,0
0.20928,8.9191e+05,541.78,0.98663,1,0.023973,0.023973,0,0
0.20963,8.9187e+05,541.78,0.98658,1,0.024096,0.024096,0,0
0.20999,8.9183e+05,541.78,0.98653,1,0.024219,0.024219,0,0
0.21035,8.9179e+05,541.78,0.98649,1,0.024342,0.024342,0,0
0.21072,8.9174e+05,541.78,0.98644,1,0.024464,0.024464,0,0
0.21109,8.917e+05,541.77,0.98639,1,0.024587,0.024587,0,0
0.21147,8.9165e+05,541.77,0.98634,1,0.02471,0.02471,0,0
0.21184,8.9161e+05,541.77,0.98629,1,0.024833,0.024833,0,0
0.21222,8.9157e+05,541.77,0.98625,1,0.024956,0.024956,0,0
0.21259,8.9152e+05,541.77,0.9862,1,0.025079,0.025079,0,0
0.21298,8.9148e+05,541.77,0.98615,1,0.025202,0.025202,0,0
0.21337,8.9143e+05,541.77,0.98609,1,0.025325,0.025325,0,0
0.21376,8.9138e+05,541.77,0.98604,1,0.025448,0.025448,0,0
0.21415,8.9134e+05,541.76,0.98599,1,0.025571,0.025571,0,0
0.21453,8.9129e+05,541.76,0.98594,1,0.025694,0.025694,0,0
0.21493,8.9124e+05,541.76,0.98589,1,0.025817,0.025817,0,0
0.21533,8.9119e+05,541.76,0.98583,1,0.02594,0.02594,0,0
0.21574,8.9114e+05,541.76,0.98578,1,0.026063,0.026063,0,0
0.21614,8.911e+05,541.76,0.98573,1,0.026186,0.026186,0,0
0.21655,8.9105e+05,541.76,0.98567,1,0.026309,0.026309,0,0
0.21695,8.91e+05,541.75,0.98562,1,0.026431,0.026431,0,0
0.21737,8.9095e+05,541.75,0.98556,1,0.026554,0.026554,0,0
0.21779,8.909e+05,541.75,0.9855,1,0.026677,0.026677,0,0
0.21821,8.9084e+05,541.75,0.98545,1,0.0268,0.0268,0,0
0.21863,8.9079e+05,541.75,0.98539,1,0.026923,0.026923,0,0
0.21905,8.9074e+05,541.75,0.98533,1,0.027046,0.027046,0,0
0.21947,8.9069e+05,541.75,0.98528,1,0.027169,0.027169,0,0
0.21991,8.9064e+05,541.74,0.98522,1,0.027292,0.027292,0,0
0.22035,8.9058e+05,541.74,0.98516,1,0.027415,0.027415,0,0
0.22079,8.9053e+05,541.74,0.9851,1,0.027538,0.027538,0,0
0.22122,8.9047e+05,541.74,0.98504,1,0.027661,0.027661,0,0
0.22166,8.9042e+05,541.74,0.98498,1,0.027784,0.027784,0,0
0.2221,8.9036e+05,541.74,0.98492,1,0.027907,0.027907,0,0
0.22256,8.9031e+05,541.73,0.98485,1,0.02803,0.02803,0,0
0.22302,8.9025e+05,541.73,0.98479,1,0.028153,0.028153,0,0
0.22347,8.9019e+05,541.73,0.98473,1,0.028276,0.028276,0,0
0.22393,8.9014e+05,541.73,0.98466,1,0.028398,0.028398,0,0
0.22438,8.9008e+05,541.73,0.9846,1,0.028521,0.028521,0,0
