,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
781,114.65,178350000.0,1.4356,11120,-3175.2,0,1224200.0,-0.42053,561.22,1,0.781,0.781,0.4,0,0.3613595260290683,0.5382860849897395
782,114.65,178340000.0,1.4356,11120,-3175.3,0,1224200.0,-0.42055,561.22,1,0.782,0.782,0.4,0,0.3613595260290683,0.5382860849897395
783,114.65,178340000.0,1.4356,11120,-3175.4,0,1224200.0,-0.42057,561.22,1,0.783,0.783,0.4,0,0.3613595260290683,0.5382860849897395
784,114.64,178340000.0,1.4356,11120,-3175.5,0,1224200.0,-0.42059,561.22,1,0.784,0.784,0.4,0,0.3613595260290683,0.5382860849897395
785,114.64,178330000.0,1.4356,11119,-3175.6,0,1224200.0,-0.42061,561.22,1,0.785,0.785,0.4,0,0.3613595260290683,0.5382860849897395
786,114.64,178330000.0,1.4356,11119,-3175.7,0,1224200.0,-0.42063,561.22,1,0.786,0.786,0.4,0,0.3613595260290683,0.5382860849897395
787,114.64,178320000.0,1.4356,11119,-3175.8,0,1224200.0,-0.42065,561.22,1,0.787,0.787,0.4,0,0.3613595260290683,0.5382860849897395
788,114.63,178320000.0,1.4356,11119,-3175.9,0,1224100.0,-0.42067,561.22,1,0.788,0.788,0.4,0,0.3614971417182835,0.5383573021217352
789,114.63,178320000.0,1.4356,11119,-3176.0,0,1224100.0,-0.42069,561.22,1,0.789,0.789,0.4,0,0.3614971417182835,0.5383573021217352
790,114.63,178310000.0,1.4356,11119,-3176.1,0,1224100.0,-0.42071,561.22,1,0.79,0.79,0.4,0,0.3614971417182835,0.5383573021217352
791,114.63,178310000.0,1.4356,11118,-3176.2,0,1224100.0,-0.42073,561.22,1,0.791,0.791,0.4,0,0.3614971417182835,0.5383573021217352
792,114.62,178300000.0,1.4355,11118,-3176.3,0,1224100.0,-0.42075,561.22,1,0.792,0.792,0.4,0,0.3614971417182835,0.5383573021217352
793,114.62,178300000.0,1.4355,11118,-3176.3,0,1224100.0,-0.42076,561.22,1,0.793,0.793,0.4,0,0.3614971417182835,0.5383573021217352
794,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42077,561.22,1,0.794,0.794,0.4,0,0.3614971417182835,0.5383573021217352
795,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42077,561.22,1,0.795,0.795,0.4,0,0.3614971417182835,0.5383573021217352
796,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42077,561.22,1,0.796,0.796,0.4,0,0.3614971417182835,0.5383573021217352
797,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42078,561.22,1,0.797,0.797,0.4,0,0.3614971417182835,0.5383573021217352
798,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42078,561.22,1,0.798,0.798,0.4,0,0.3614971417182835,0.5383573021217352
799,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42078,561.22,1,0.799,0.799,0.4,0,0.3614971417182835,0.5383573021217352
800,114.62,178300000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42078,561.22,1,0.8,0.8,0.4,0,0.3614971417182835,0.5383573021217352
801,114.62,178290000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42079,561.22,1,0.801,0.801,0.4,0,0.3614971417182835,0.5383573021217352
802,114.62,178290000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42079,561.22,1,0.802,0.802,0.4,0,0.3614971417182835,0.5383573021217352
803,114.62,178290000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42079,561.22,1,0.803,0.803,0.4,0,0.3614971417182835,0.5383573021217352
804,114.62,178290000.0,1.4355,11118,-3176.4,0,1224100.0,-0.42079,561.22,1,0.804,0.804,0.4,0,0.3614971417182835,0.5383573021217352
805,114.62,178290000.0,1.4355,11118,-3176.5,0,1224100.0,-0.4208,561.22,1,0.805,0.805,0.4,0,0.3614971417182835,0.5383573021217352
806,114.62,178290000.0,1.4355,11118,-3176.5,0,1224100.0,-0.4208,561.22,1,0.806,0.806,0.4,0,0.3614971417182835,0.5383573021217352
807,114.61,178290000.0,1.4355,11118,-3176.5,0,1224100.0,-0.4208,561.22,1,0.807,0.807,0.4,0,0.3614971417182835,0.5383573021217352
808,114.61,178290000.0,1.4355,11118,-3176.5,0,1224100.0,-0.4208,561.22,1,0.808,0.808,0.4,0,0.3614971417182835,0.5383573021217352
809,114.61,178290000.0,1.4355,11118,-3176.5,0,1224100.0,-0.42081,561.22,1,0.809,0.809,0.4,0,0.3614971417182835,0.5383573021217352
810,114.61,178290000.0,1.4355,11118,-3176.5,0,1224100.0,-0.42081,561.22,1,0.81,0.81,0.4,0,0.3614971417182835,0.5383573021217352
811,114.61,178290000.0,1.4355,11117,-3176.5,0,1224000.0,-0.42081,561.22,1,0.811,0.811,0.4,0,0.3616347279655032,0.5384284950506655
812,114.61,178290000.0,1.4355,11117,-3176.5,0,1224000.0,-0.42082,561.22,1,0.812,0.812,0.4,0,0.3616347279655032,0.5384284950506655
813,114.61,178290000.0,1.4355,11117,-3176.6,0,1224000.0,-0.42082,561.22,1,0.813,0.813,0.4,0,0.3616347279655032,0.5384284950506655
814,114.61,178290000.0,1.4355,11117,-3176.6,0,1224000.0,-0.42082,561.22,1,0.814,0.814,0.4,0,0.3616347279655032,0.5384284950506655
815,114.61,178280000.0,1.4355,11117,-3176.6,0,1224000.0,-0.42083,561.22,1,0.815,0.815,0.4,0,0.3616347279655032,0.5384284950506655
816,114.61,178280000.0,1.4355,11117,-3176.6,0,1224000.0,-0.42083,561.22,1,0.816,0.816,0.4,0,0.3616347279655032,0.5384284950506655
817,114.61,178280000.0,1.4355,11117,-3176.6,0,1224000.0,-0.42084,561.22,1,0.817,0.817,0.4,0,0.3616347279655032,0.5384284950506655
818,114.61,178280000.0,1.4355,11117,-3176.6,0,1224000.0,-0.42084,561.22,1,0.818,0.818,0.4,0,0.3616347279655032,0.5384284950506655
819,114.61,178280000.0,1.4355,11117,-3176.7,0,1224000.0,-0.42084,561.22,1,0.819,0.819,0.4,0,0.3616347279655032,0.5384284950506655
820,114.61,178280000.0,1.4355,11117,-3176.7,0,1224000.0,-0.42085,561.22,1,0.82,0.82,0.4,0,0.3616347279655032,0.5384284950506655
821,114.61,178280000.0,1.4355,11117,-3176.7,0,1224000.0,-0.42085,561.22,1,0.821,0.821,0.4,0,0.3616347279655032,0.5384284950506655
822,114.61,178280000.0,1.4354,11117,-3176.7,0,1224000.0,-0.42085,561.22,1,0.822,0.822,0.4,0,0.3616347279655032,0.5384284950506655
823,114.61,178280000.0,1.4354,11117,-3176.7,0,1224000.0,-0.42086,561.22,1,0.823,0.823,0.4,0,0.3616347279655032,0.5384284950506655
824,114.61,178280000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42086,561.22,1,0.824,0.824,0.4,0,0.3616347279655032,0.5384284950506655
825,114.6,178280000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42087,561.22,1,0.825,0.825,0.4,0,0.3616347279655032,0.5384284950506655
826,114.6,178280000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42087,561.22,1,0.826,0.826,0.4,0,0.3616347279655032,0.5384284950506655
827,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42087,561.22,1,0.827,0.827,0.4,0,0.3616347279655032,0.5384284950506655
828,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42087,561.22,1,0.828,0.828,0.4,0,0.3616347279655032,0.5384284950506655
829,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42087,561.22,1,0.829,0.829,0.4,0,0.3616347279655032,0.5384284950506655
830,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.83,0.83,0.4,0,0.3616347279655032,0.5384284950506655
