"Mach","Pressure","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0793,48029,0.48029,1,0.08999,0.08999,0,0
1.0829,47820,0.4782,1,0.090113,0.090113,0,0
1.0864,47612,0.47612,1,0.090236,0.090236,0,0
1.09,47404,0.47404,1,0.090359,0.090359,0,0
1.0936,47196,0.47196,1,0.090482,0.090482,0,0
1.0971,46988,0.46988,1,0.090605,0.090605,0,0
1.1007,46781,0.46781,1,0.090728,0.090728,0,0
1.1043,46573,0.46573,1,0.09085,0.09085,0,0
1.1079,46366,0.46366,1,0.090973,0.090973,0,0
1.1114,46159,0.46159,1,0.091096,0.091096,0,0
1.115,45952,0.45952,1,0.091219,0.091219,0,0
1.1186,45747,0.45747,1,0.091342,0.091342,0,0
1.1222,45542,0.45542,1,0.091465,0.091465,0,0
1.1258,45337,0.45337,1,0.091588,0.091588,0,0
1.1294,45132,0.45132,1,0.091711,0.091711,0,0
1.133,44927,0.44927,1,0.091834,0.091834,0,0
1.1366,44723,0.44723,1,0.091957,0.091957,0,0
1.1402,44519,0.44519,1,0.09208,0.09208,0,0
1.1438,44316,0.44316,1,0.092203,0.092203,0,0
1.1474,44112,0.44112,1,0.092326,0.092326,0,0
1.1511,43909,0.43909,1,0.092449,0.092449,0,0
1.1547,43705,0.43705,1,0.092572,0.092572,0,0
1.1583,43504,0.43504,1,0.092694,0.092694,0,0
1.1619,43304,0.43304,1,0.092817,0.092817,0,0
1.1655,43104,0.43104,1,0.09294,0.09294,0,0
1.1692,42904,0.42904,1,0.093063,0.093063,0,0
1.1728,42704,0.42704,1,0.093186,0.093186,0,0
1.1764,42505,0.42505,1,0.093309,0.093309,0,0
1.18,42306,0.42306,1,0.093432,0.093432,0,0
1.1837,42107,0.42107,1,0.093555,0.093555,0,0
1.1873,41909,0.41909,1,0.093678,0.093678,0,0
1.191,41710,0.4171,1,0.093801,0.093801,0,0
1.1946,41512,0.41512,1,0.093924,0.093924,0,0
1.1983,41314,0.41314,1,0.094047,0.094047,0,0
1.202,41118,0.41118,1,0.09417,0.09417,0,0
1.2057,40921,0.40921,1,0.094293,0.094293,0,0
1.2093,40724,0.40724,1,0.094416,0.094416,0,0
1.213,40528,0.40528,1,0.094539,0.094539,0,0
1.2167,40331,0.40331,1,0.094661,0.094661,0,0
1.2204,40137,0.40137,1,0.094784,0.094784,0,0
1.2241,39943,0.39943,1,0.094907,0.094907,0,0
1.2278,39749,0.39749,1,0.09503,0.09503,0,0
1.2315,39556,0.39556,1,0.095153,0.095153,0,0
1.2351,39362,0.39362,1,0.095276,0.095276,0,0
1.2388,39169,0.39169,1,0.095399,0.095399,0,0
1.2425,38978,0.38978,1,0.095522,0.095522,0,0
1.2462,38788,0.38788,1,0.095645,0.095645,0,0
1.2499,38597,0.38597,1,0.095768,0.095768,0,0
1.2536,38406,0.38406,1,0.095891,0.095891,0,0
1.2573,38216,0.38216,1,0.096014,0.096014,0,0
1.261,38028,0.38028,1,0.096137,0.096137,0,0
1.2648,37840,0.3784,1,0.09626,0.09626,0,0
1.2685,37653,0.37653,1,0.096383,0.096383,0,0
1.2722,37466,0.37466,1,0.096506,0.096506,0,0
1.2759,37278,0.37278,1,0.096628,0.096628,0,0
1.2796,37091,0.37091,1,0.096751,0.096751,0,0
1.2833,36907,0.36907,1,0.096874,0.096874,0,0
1.287,36723,0.36723,1,0.096997,0.096997,0,0
1.2907,36539,0.36539,1,0.09712,0.09712,0,0
1.2944,36354,0.36354,1,0.097243,0.097243,0,0
1.2981,36170,0.3617,1,0.097366,0.097366,0,0
1.3019,35988,0.35988,1,0.097489,0.097489,0,0
1.3055,35809,0.35809,1,0.097612,0.097612,0,0
1.3092,35630,0.3563,1,0.097735,0.097735,0,0
1.3129,35450,0.3545,1,0.097858,0.097858,0,0
1.3166,35271,0.35271,1,0.097981,0.097981,0,0
1.3203,35092,0.35092,1,0.098104,0.098104,0,0
1.324,34915,0.34915,1,0.098227,0.098227,0,0
1.3277,34739,0.34739,1,0.09835,0.09835,0,0
1.3314,34562,0.34562,1,0.098473,0.098473,0,0
1.3351,34386,0.34386,1,0.098595,0.098595,0,0
1.3388,34210,0.3421,1,0.098718,0.098718,0,0
1.3425,34035,0.34035,1,0.098841,0.098841,0,0
1.3462,33863,0.33863,1,0.098964,0.098964,0,0
1.3499,33692,0.33692,1,0.099087,0.099087,0,0
1.3536,33520,0.3352,1,0.09921,0.09921,0,0
1.3573,33349,0.33349,1,0.099333,0.099333,0,0
1.361,33177,0.33177,1,0.099456,0.099456,0,0
1.3647,33006,0.33006,1,0.099579,0.099579,0,0
1.3684,32836,0.32836,1,0.099702,0.099702,0,0
1.3722,32666,0.32666,1,0.099825,0.099825,0,0
1.3759,32496,0.32496,1,0.099948,0.099948,0,0
1.3797,32326,0.32326,1,0.10007,0.10007,0,0
1.3834,32156,0.32156,1,0.10019,0.10019,0,0
1.3871,31989,0.31989,1,0.10032,0.10032,0,0
1.3909,31822,0.31822,1,0.10044,0.10044,0,0
1.3946,31655,0.31655,1,0.10056,0.10056,0,0
1.3984,31488,0.31488,1,0.10069,0.10069,0,0
1.4021,31321,0.31321,1,0.10081,0.10081,0,0
1.4059,31156,0.31156,1,0.10093,0.10093,0,0
1.4096,30992,0.30992,1,0.10105,0.10105,0,0
1.4134,30829,0.30829,1,0.10118,0.10118,0,0
1.4172,30665,0.30665,1,0.1013,0.1013,0,0
1.4209,30502,0.30502,1,0.10142,0.10142,0,0
1.4247,30338,0.30338,1,0.10155,0.10155,0,0
1.4285,30177,0.30177,1,0.10167,0.10167,0,0
1.4323,30016,0.30016,1,0.10179,0.10179,0,0
1.436,29856,0.29856,1,0.10191,0.10191,0,0
1.4398,29695,0.29695,1,0.10204,0.10204,0,0
1.4436,29535,0.29535,1,0.10216,0.10216,0,0
1.4474,29375,0.29375,1,0.10228,0.10228,0,0
1.4511,29220,0.2922,1,0.10241,0.10241,0,0
1.4548,29065,0.29065,1,0.10253,0.10253,0,0
1.4586,28909,0.28909,1,0.10265,0.10265,0,0
1.4623,28754,0.28754,1,0.10278,0.10278,0,0
1.4661,28599,0.28599,1,0.1029,0.1029,0,0
1.4698,28446,0.28446,1,0.10302,0.10302,0,0
1.4735,28296,0.28296,1,0.10314,0.10314,0,0
1.4772,28145,0.28145,1,0.10327,0.10327,0,0
1.481,27995,0.27995,1,0.10339,0.10339,0,0
1.4847,27845,0.27845,1,0.10351,0.10351,0,0
1.4884,27694,0.27694,1,0.10364,0.10364,0,0
1.4921,27549,0.27549,1,0.10376,0.10376,0,0
1.4958,27404,0.27404,1,0.10388,0.10388,0,0
1.4994,27259,0.27259,1,0.104,0.104,0,0
1.5031,27113,0.27113,1,0.10413,0.10413,0,0
1.5068,26968,0.26968,1,0.10425,0.10425,0,0
1.5105,26825,0.26825,1,0.10437,0.10437,0,0
1.5141,26684,0.26684,1,0.1045,0.1045,0,0
1.5178,26544,0.26543,1,0.10462,0.10462,0,0
1.5214,26403,0.26403,1,0.10474,0.10474,0,0
1.5251,26262,0.26262,1,0.10487,0.10487,0,0
1.5287,26122,0.26122,1,0.10499,0.10499,0,0
1.5324,25984,0.25984,1,0.10511,0.10511,0,0
1.536,25847,0.25847,1,0.10523,0.10523,0,0
1.5397,25710,0.2571,1,0.10536,0.10536,0,0
1.5433,25573,0.25573,1,0.10548,0.10548,0,0
1.547,25435,0.25435,1,0.1056,0.1056,0,0
1.5506,25299,0.25299,1,0.10573,0.10573,0,0
1.5543,25165,0.25165,1,0.10585,0.10585,0,0
1.5579,25031,0.25031,1,0.10597,0.10597,0,0
1.5616,24897,0.24897,1,0.10609,0.10609,0,0
1.5652,24763,0.24763,1,0.10622,0.10622,0,0
1.5689,24629,0.24629,1,0.10634,0.10634,0,0
1.5726,24495,0.24495,1,0.10646,0.10646,0,0
1.5763,24362,0.24362,1,0.10659,0.10659,0,0
1.5801,24229,0.24229,1,0.10671,0.10671,0,0
1.5838,24097,0.24097,1,0.10683,0.10683,0,0
1.5875,23964,0.23964,1,0.10696,0.10696,0,0
1.5912,23831,0.23831,1,0.10708,0.10708,0,0
1.595,23699,0.23699,1,0.1072,0.1072,0,0
1.5988,23567,0.23567,1,0.10732,0.10732,0,0
1.6026,23435,0.23435,1,0.10745,0.10745,0,0
1.6064,23303,0.23303,1,0.10757,0.10757,0,0
1.6102,23171,0.23171,1,0.10769,0.10769,0,0
1.614,23040,0.2304,1,0.10782,0.10782,0,0
1.6179,22911,0.22911,1,0.10794,0.10794,0,0
1.6217,22782,0.22782,1,0.10806,0.10806,0,0
1.6255,22653,0.22653,1,0.10818,0.10818,0,0
1.6294,22524,0.22524,1,0.10831,0.10831,0,0
1.6332,22395,0.22395,1,0.10843,0.10843,0,0
1.637,22268,0.22268,1,0.10855,0.10855,0,0
1.6408,22142,0.22142,1,0.10868,0.10868,0,0
1.6447,22017,0.22017,1,0.1088,0.1088,0,0
1.6485,21891,0.21891,1,0.10892,0.10892,0,0
1.6523,21765,0.21765,1,0.10905,0.10905,0,0
1.6561,21641,0.21641,1,0.10917,0.10917,0,0
1.6598,21522,0.21522,1,0.10929,0.10929,0,0
1.6636,21403,0.21403,1,0.10941,0.10941,0,0
1.6673,21285,0.21285,1,0.10954,0.10954,0,0
1.671,21166,0.21166,1,0.10966,0.10966,0,0
1.6747,21047,0.21047,1,0.10978,0.10978,0,0
1.6783,20935,0.20935,1,0.10991,0.10991,0,0
1.6818,20827,0.20827,1,0.11003,0.11003,0,0
1.6852,20720,0.2072,1,0.11015,0.11015,0,0
1.6887,20613,0.20613,1,0.11027,0.11027,0,0
1.6921,20505,0.20505,1,0.1104,0.1104,0,0
1.6955,20398,0.20398,1,0.11052,0.11052,0,0
1.6988,20301,0.20301,1,0.11064,0.11064,0,0
1.702,20204,0.20204,1,0.11077,0.11077,0,0
1.7052,20108,0.20108,1,0.11089,0.11089,0,0
1.7084,20011,0.20011,1,0.11101,0.11101,0,0
1.7116,19915,0.19915,1,0.11114,0.11114,0,0
1.7147,19822,0.19822,1,0.11126,0.11126,0,0
1.7175,19738,0.19738,1,0.11138,0.11138,0,0
1.7204,19654,0.19654,1,0.1115,0.1115,0,0
1.7232,19570,0.1957,1,0.11163,0.11163,0,0
1.7261,19486,0.19486,1,0.11175,0.11175,0,0
1.7289,19402,0.19402,1,0.11187,0.11187,0,0
1.7311,19338,0.19338,1,0.112,0.112,0,0
1.7331,19280,0.1928,1,0.11212,0.11212,0,0
1.7351,19223,0.19223,1,0.11224,0.11224,0,0
1.7371,19165,0.19165,1,0.11236,0.11236,0,0
1.7391,19108,0.19108,1,0.11249,0.11249,0,0
1.7411,19052,0.19052,1,0.11261,0.11261,0,0
1.7426,19009,0.19009,1,0.11273,0.11273,0,0
1.744,18966,0.18966,1,0.11286,0.11286,0,0
1.7455,18923,0.18923,1,0.11298,0.11298,0,0
1.747,18880,0.1888,1,0.1131,0.1131,0,0
1.7485,18837,0.18837,1,0.11322,0.11322,0,0
1.7497,18802,0.18802,1,0.11335,0.11335,0,0
1.7506,18776,0.18776,1,0.11347,0.11347,0,0
1.7516,18749,0.18749,1,0.11359,0.11359,0,0
1.7525,18723,0.18723,1,0.11372,0.11372,0,0
1.7534,18696,0.18696,1,0.11384,0.11384,0,0
1.7543,18669,0.18669,1,0.11396,0.11396,0,0
1.7543,18671,0.18671,1,0.11409,0.11409,0,0
1.7541,18676,0.18676,1,0.11421,0.11421,0,0
1.754,18680,0.1868,1,0.11433,0.11433,0,0
