"Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2038,2.0551e+06,523.63,1,0.83652,0.83652,0,0
1.2065,2.053e+06,523.57,1,0.8483,0.8483,0,0
1.2091,2.0508e+06,523.5,1,0.86009,0.86009,0,0
1.2119,2.0485e+06,523.43,1,0.87187,0.87187,0,0
1.2148,2.0461e+06,523.36,1,0.88365,0.88365,0,0
1.2176,2.0437e+06,523.28,1,0.89543,0.89543,0,0
1.2205,2.0413e+06,523.21,1,0.90721,0.90721,0,0
1.2234,2.0389e+06,523.13,1,0.919,0.919,0,0
1.2262,2.0366e+06,523.06,1,0.93078,0.93078,0,0
1.2291,2.0342e+06,522.98,1,0.94256,0.94256,0,0
1.2319,2.0318e+06,522.91,1,0.95434,0.95434,0,0
1.2348,2.0294e+06,522.83,1,0.96612,0.96612,0,0
1.2379,2.0268e+06,522.75,1,0.97791,0.97791,0,0
1.2409,2.0243e+06,522.66,1,0.98969,0.98969,0,0
1.2439,2.0217e+06,522.58,1,1.0015,1.0015,0,0
1.247,2.0192e+06,522.5,1,1.0133,1.0133,0,0
1.25,2.0166e+06,522.42,1,1.025,1.025,0,0
1.253,2.0141e+06,522.34,1,1.0368,1.0368,0,0
1.2561,2.0116e+06,522.25,1,1.0486,1.0486,0,0
1.2591,2.009e+06,522.17,1,1.0604,1.0604,0,0
1.2618,2.0066e+06,522.09,1,1.0722,1.0722,0,0
1.2645,2.0043e+06,522.02,1,1.0839,1.0839,0,0
1.2671,2.002e+06,521.94,1,1.0957,1.0957,0,0
1.2697,1.9997e+06,521.86,1,1.1075,1.1075,0,0
1.2724,1.9974e+06,521.78,1,1.1193,1.1193,0,0
1.275,1.995e+06,521.71,1,1.1311,1.1311,0,0
1.2776,1.9927e+06,521.63,1,1.1429,1.1429,0,0
1.2803,1.9904e+06,521.55,1,1.1546,1.1546,0,0
1.2828,1.9881e+06,521.48,1,1.1664,1.1664,0,0
1.285,1.986e+06,521.41,1,1.1782,1.1782,0,0
1.2872,1.9839e+06,521.33,1,1.19,1.19,0,0
1.2895,1.9818e+06,521.26,1,1.2018,1.2018,0,0
1.2917,1.9797e+06,521.19,1,1.2135,1.2135,0,0
1.294,1.9775e+06,521.12,1,1.2253,1.2253,0,0
1.2962,1.9754e+06,521.05,1,1.2371,1.2371,0,0
1.2984,1.9733e+06,520.97,1,1.2489,1.2489,0,0
1.3007,1.9712e+06,520.9,1,1.2607,1.2607,0,0
1.303,1.9689e+06,520.82,1,1.2725,1.2725,0,0
1.3053,1.9667e+06,520.74,1,1.2842,1.2842,0,0
1.3076,1.9644e+06,520.67,1,1.296,1.296,0,0
1.3099,1.9621e+06,520.59,1,1.3078,1.3078,0,0
1.3122,1.9599e+06,520.51,1,1.3196,1.3196,0,0
1.3145,1.9576e+06,520.43,1,1.3314,1.3314,0,0
1.3168,1.9553e+06,520.35,1,1.3431,1.3431,0,0
1.3191,1.9531e+06,520.27,1,1.3549,1.3549,0,0
1.3214,1.9506e+06,520.19,1,1.3667,1.3667,0,0
1.3237,1.948e+06,520.1,1,1.3785,1.3785,0,0
1.326,1.9455e+06,520.01,1,1.3903,1.3903,0,0
1.3283,1.9429e+06,519.91,1,1.4021,1.4021,0,0
1.3306,1.9403e+06,519.82,1,1.4138,1.4138,0,0
1.3329,1.9377e+06,519.73,1,1.4256,1.4256,0,0
1.3352,1.9351e+06,519.64,1,1.4374,1.4374,0,0
1.3375,1.9325e+06,519.55,1,1.4492,1.4492,0,0
1.3398,1.93e+06,519.46,1,1.461,1.461,0,0
1.3417,1.9275e+06,519.37,1,1.4727,1.4727,0,0
1.3437,1.925e+06,519.28,1,1.4845,1.4845,0,0
1.3456,1.9225e+06,519.19,1,1.4963,1.4963,0,0
1.3476,1.92e+06,519.1,1,1.5081,1.5081,0,0
1.3496,1.9175e+06,519.01,1,1.5199,1.5199,0,0
1.3515,1.915e+06,518.92,1,1.5317,1.5317,0,0
1.3535,1.9124e+06,518.83,1,1.5434,1.5434,0,0
1.3554,1.9099e+06,518.74,1,1.5552,1.5552,0,0
1.3572,1.9074e+06,518.64,1,1.567,1.567,0,0
1.359,1.9049e+06,518.55,1,1.5788,1.5788,0,0
1.3607,1.9024e+06,518.46,1,1.5906,1.5906,0,0
1.3624,1.8999e+06,518.37,1,1.6024,1.6024,0,0
1.3641,1.8973e+06,518.28,1,1.6141,1.6141,0,0
1.3659,1.8948e+06,518.18,1,1.6259,1.6259,0,0
1.3676,1.8923e+06,518.09,1,1.6377,1.6377,0,0
1.3693,1.8898e+06,518,1,1.6495,1.6495,0,0
1.3709,1.8874e+06,517.91,1,1.6613,1.6613,0,0
1.3721,1.8853e+06,517.84,1,1.673,1.673,0,0
1.3733,1.8833e+06,517.76,1,1.6848,1.6848,0,0
1.3744,1.8813e+06,517.69,1,1.6966,1.6966,0,0
1.3756,1.8792e+06,517.61,1,1.7084,1.7084,0,0
1.3767,1.8772e+06,517.54,1,1.7202,1.7202,0,0
1.3779,1.8752e+06,517.46,1,1.732,1.732,0,0
1.3791,1.8731e+06,517.39,1,1.7437,1.7437,0,0
1.3802,1.8711e+06,517.31,1,1.7555,1.7555,0,0
1.3813,1.8687e+06,517.23,1,1.7673,1.7673,0,0
1.3823,1.8663e+06,517.14,1,1.7791,1.7791,0,0
1.3833,1.8639e+06,517.05,1,1.7909,1.7909,0,0
1.3843,1.8615e+06,516.96,1,1.8026,1.8026,0,0
1.3853,1.8591e+06,516.87,1,1.8144,1.8144,0,0
1.3863,1.8567e+06,516.78,1,1.8262,1.8262,0,0
1.3873,1.8543e+06,516.69,1,1.838,1.838,0,0
1.3884,1.8519e+06,516.6,1,1.8498,1.8498,0,0
1.3893,1.8494e+06,516.51,1,1.8616,1.8616,0,0
1.3901,1.8468e+06,516.41,1,1.8733,1.8733,0,0
1.3909,1.8442e+06,516.32,1,1.8851,1.8851,0,0
1.3917,1.8416e+06,516.22,1,1.8969,1.8969,0,0
1.3925,1.8389e+06,516.12,1,1.9087,1.9087,0,0
1.3932,1.8363e+06,516.02,1,1.9205,1.9205,0,0
1.394,1.8337e+06,515.93,1,1.9322,1.9322,0,0
1.3948,1.8311e+06,515.83,1,1.944,1.944,0,0
1.3956,1.8284e+06,515.73,1,1.9558,1.9558,0,0
1.396,1.8255e+06,515.62,1,1.9676,1.9676,0,0
1.3963,1.8226e+06,515.52,1,1.9794,1.9794,0,0
1.3967,1.8197e+06,515.41,1,1.9912,1.9912,0,0
1.397,1.8168e+06,515.3,1,2.0029,2.0029,0,0
1.3974,1.8139e+06,515.19,1,2.0147,2.0147,0,0
1.3977,1.811e+06,515.09,1,2.0265,2.0265,0,0
1.3981,1.8081e+06,514.98,1,2.0383,2.0383,0,0
1.3984,1.8052e+06,514.87,1,2.0501,2.0501,0,0
1.3986,1.8023e+06,514.77,1,2.0618,2.0618,0,0
1.3986,1.7994e+06,514.66,1,2.0736,2.0736,0,0
1.3986,1.7965e+06,514.55,1,2.0854,2.0854,0,0
1.3987,1.7937e+06,514.45,1,2.0972,2.0972,0,0
1.3987,1.7908e+06,514.34,1,2.109,2.109,0,0
1.3987,1.7879e+06,514.24,1,2.1208,2.1208,0,0
1.3987,1.785e+06,514.13,1,2.1325,2.1325,0,0
1.3988,1.7822e+06,514.03,1,2.1443,2.1443,0,0
1.3988,1.7793e+06,513.92,1,2.1561,2.1561,0,0
1.3986,1.7762e+06,513.81,1,2.1679,2.1679,0,0
1.3985,1.7732e+06,513.7,1,2.1797,2.1797,0,0
1.3983,1.7701e+06,513.59,1,2.1915,2.1915,0,0
1.3982,1.7671e+06,513.48,1,2.2032,2.2032,0,0
1.398,1.764e+06,513.37,1,2.215,2.215,0,0
1.3979,1.761e+06,513.26,1,2.2268,2.2268,0,0
1.3977,1.7579e+06,513.15,1,2.2386,2.2386,0,0
1.3976,1.7548e+06,513.04,1,2.2504,2.2504,0,0
1.3973,1.7517e+06,512.92,1,2.2621,2.2621,0,0
1.3969,1.7486e+06,512.81,1,2.2739,2.2739,0,0
1.3965,1.7455e+06,512.7,1,2.2857,2.2857,0,0
1.3961,1.7423e+06,512.59,1,2.2975,2.2975,0,0
1.3958,1.7392e+06,512.48,1,2.3093,2.3093,0,0
1.3954,1.736e+06,512.37,1,2.3211,2.3211,0,0
1.395,1.7329e+06,512.25,1,2.3328,2.3328,0,0
1.3946,1.7298e+06,512.14,1,2.3446,2.3446,0,0
1.3942,1.7267e+06,512.03,1,2.3564,2.3564,0,0
1.3936,1.724e+06,511.94,1,2.3682,2.3682,0,0
1.393,1.7213e+06,511.84,1,2.38,2.38,0,0
1.3924,1.7185e+06,511.75,1,2.3917,2.3917,0,0
1.3917,1.7158e+06,511.65,1,2.4035,2.4035,0,0
1.3911,1.713e+06,511.56,1,2.4153,2.4153,0,0
1.3905,1.7103e+06,511.46,1,2.4271,2.4271,0,0
1.3899,1.7075e+06,511.36,1,2.4389,2.4389,0,0
1.3893,1.7048e+06,511.27,1,2.4507,2.4507,0,0
1.3887,1.7016e+06,511.16,1,2.4624,2.4624,0,0
1.3882,1.6984e+06,511.05,1,2.4742,2.4742,0,0
1.3876,1.6952e+06,510.94,1,2.486,2.486,0,0
1.387,1.692e+06,510.83,1,2.4978,2.4978,0,0
1.3865,1.6888e+06,510.72,1,2.5096,2.5096,0,0
1.3859,1.6856e+06,510.61,1,2.5213,2.5213,0,0
1.3853,1.6823e+06,510.5,1,2.5331,2.5331,0,0
1.3847,1.6791e+06,510.39,1,2.5449,2.5449,0,0
1.384,1.6757e+06,510.27,1,2.5567,2.5567,0,0
1.383,1.6721e+06,510.15,1,2.5685,2.5685,0,0
1.382,1.6685e+06,510.03,1,2.5803,2.5803,0,0
1.3811,1.6649e+06,509.91,1,2.592,2.592,0,0
1.3801,1.6612e+06,509.79,1,2.6038,2.6038,0,0
1.3791,1.6576e+06,509.67,1,2.6156,2.6156,0,0
1.3782,1.654e+06,509.55,1,2.6274,2.6274,0,0
1.3772,1.6504e+06,509.43,1,2.6392,2.6392,0,0
1.3762,1.6468e+06,509.3,1,2.6509,2.6509,0,0
1.3752,1.6431e+06,509.19,1,2.6627,2.6627,0,0
1.3742,1.6395e+06,509.07,1,2.6745,2.6745,0,0
1.3732,1.6359e+06,508.95,1,2.6863,2.6863,0,0
1.3722,1.6322e+06,508.83,1,2.6981,2.6981,0,0
1.3712,1.6286e+06,508.71,1,2.7099,2.7099,0,0
1.3702,1.625e+06,508.6,1,2.7216,2.7216,0,0
1.3692,1.6214e+06,508.48,1,2.7334,2.7334,0,0
1.3682,1.6177e+06,508.36,1,2.7452,2.7452,0,0
1.3673,1.614e+06,508.24,1,2.757,2.757,0,0
1.3664,1.6103e+06,508.12,1,2.7688,2.7688,0,0
1.3654,1.6066e+06,508.01,1,2.7806,2.7806,0,0
1.3645,1.6028e+06,507.89,1,2.7923,2.7923,0,0
1.3636,1.5991e+06,507.77,1,2.8041,2.8041,0,0
1.3626,1.5953e+06,507.65,1,2.8159,2.8159,0,0
1.3617,1.5916e+06,507.53,1,2.8277,2.8277,0,0
1.3608,1.5879e+06,507.41,1,2.8395,2.8395,0,0
1.3599,1.5841e+06,507.3,1,2.8512,2.8512,0,0
1.3591,1.5803e+06,507.18,1,2.863,2.863,0,0
1.3583,1.5764e+06,507.06,1,2.8748,2.8748,0,0
1.3576,1.5726e+06,506.94,1,2.8866,2.8866,0,0
1.3568,1.5688e+06,506.82,1,2.8984,2.8984,0,0
1.356,1.5649e+06,506.7,1,2.9102,2.9102,0,0
1.3553,1.5611e+06,506.59,1,2.9219,2.9219,0,0
1.3545,1.5572e+06,506.47,1,2.9337,2.9337,0,0
1.3537,1.5534e+06,506.35,1,2.9455,2.9455,0,0
1.353,1.5491e+06,506.22,1,2.9573,2.9573,0,0
1.3523,1.5446e+06,506.09,1,2.9691,2.9691,0,0
1.3516,1.5402e+06,505.95,1,2.9808,2.9808,0,0
1.3509,1.5357e+06,505.82,1,2.9926,2.9926,0,0
1.3503,1.5313e+06,505.69,1,3.0044,3.0044,0,0
1.3496,1.5268e+06,505.55,1,3.0162,3.0162,0,0
1.3489,1.5223e+06,505.42,1,3.028,3.028,0,0
1.3482,1.5179e+06,505.28,1,3.0398,3.0398,0,0
1.3476,1.5136e+06,505.16,1,3.0515,3.0515,0,0
1.3473,1.5099e+06,505.05,1,3.0633,3.0633,0,0
1.347,1.5062e+06,504.94,1,3.0751,3.0751,0,0
1.3466,1.5024e+06,504.83,1,3.0869,3.0869,0,0
1.3463,1.4987e+06,504.72,1,3.0987,3.0987,0,0
1.346,1.495e+06,504.61,1,3.1104,3.1104,0,0
1.3457,1.4912e+06,504.5,1,3.1222,3.1222,0,0
1.3454,1.4875e+06,504.4,1,3.134,3.134,0,0
1.345,1.4838e+06,504.29,1,3.1458,3.1458,0,0
1.3449,1.4805e+06,504.19,1,3.1576,3.1576,0,0
1.3448,1.4772e+06,504.1,1,3.1694,3.1694,0,0
1.3447,1.474e+06,504.01,1,3.1811,3.1811,0,0
1.3446,1.4708e+06,503.92,1,3.1929,3.1929,0,0
1.3446,1.4675e+06,503.82,1,3.2047,3.2047,0,0
1.3445,1.4643e+06,503.73,1,3.2165,3.2165,0,0
1.3444,1.4611e+06,503.64,1,3.2283,3.2283,0,0
1.3443,1.4579e+06,503.55,1,3.24,3.24,0,0
1.3441,1.4543e+06,503.45,1,3.2518,3.2518,0,0
1.3439,1.4505e+06,503.34,1,3.2636,3.2636,0,0
1.3437,1.4466e+06,503.23,1,3.2754,3.2754,0,0
1.3434,1.4428e+06,503.12,1,3.2872,3.2872,0,0
1.3432,1.4389e+06,503.01,1,3.299,3.299,0,0
1.343,1.435e+06,502.9,1,3.3107,3.3107,0,0
1.3428,1.4312e+06,502.8,1,3.3225,3.3225,0,0
1.3425,1.4273e+06,502.69,1,3.3343,3.3343,0,0
1.3423,1.4234e+06,502.58,1,3.3461,3.3461,0,0
1.3423,1.4192e+06,502.46,1,3.3579,3.3579,0,0
1.3422,1.4149e+06,502.34,1,3.3697,3.3697,0,0
1.3421,1.4106e+06,502.23,1,3.3814,3.3814,0,0
1.3421,1.4064e+06,502.11,1,3.3932,3.3932,0,0
1.342,1.4021e+06,501.99,1,3.405,3.405,0,0
1.342,1.3978e+06,501.87,1,3.4168,3.4168,0,0
1.3419,1.3935e+06,501.76,1,3.4286,3.4286,0,0
1.3418,1.3893e+06,501.64,1,3.4403,3.4403,0,0
1.342,1.3852e+06,501.53,1,3.4521,3.4521,0,0
1.3423,1.3812e+06,501.42,1,3.4639,3.4639,0,0
1.3426,1.3773e+06,501.31,1,3.4757,3.4757,0,0
1.3429,1.3733e+06,501.21,1,3.4875,3.4875,0,0
1.3432,1.3693e+06,501.1,1,3.4993,3.4993,0,0
1.3435,1.3654e+06,500.99,1,3.511,3.511,0,0
1.3438,1.3614e+06,500.89,1,3.5228,3.5228,0,0
1.3441,1.3575e+06,500.78,1,3.5346,3.5346,0,0
1.3444,1.3535e+06,500.67,1,3.5464,3.5464,0,0
1.3446,1.3495e+06,500.57,1,3.5582,3.5582,0,0
1.3449,1.3455e+06,500.46,1,3.5699,3.5699,0,0
1.3451,1.3415e+06,500.36,1,3.5817,3.5817,0,0
1.3453,1.3375e+06,500.25,1,3.5935,3.5935,0,0
1.3455,1.3336e+06,500.14,1,3.6053,3.6053,0,0
1.3458,1.3296e+06,500.04,1,3.6171,3.6171,0,0
1.346,1.3256e+06,499.93,1,3.6289,3.6289,0,0
1.3462,1.3216e+06,499.83,1,3.6406,3.6406,0,0
1.3467,1.317e+06,499.7,1,3.6524,3.6524,0,0
1.3472,1.3122e+06,499.58,1,3.6642,3.6642,0,0
1.3478,1.3074e+06,499.45,1,3.676,3.676,0,0
1.3483,1.3025e+06,499.33,1,3.6878,3.6878,0,0
1.3488,1.2977e+06,499.2,1,3.6995,3.6995,0,0
1.3494,1.2929e+06,499.08,1,3.7113,3.7113,0,0
1.3499,1.2881e+06,498.95,1,3.7231,3.7231,0,0
1.3504,1.2833e+06,498.82,1,3.7349,3.7349,0,0
1.351,1.2787e+06,498.7,1,3.7467,3.7467,0,0
1.3516,1.2745e+06,498.59,1,3.7585,3.7585,0,0
1.3521,1.2702e+06,498.48,1,3.7702,3.7702,0,0
1.3527,1.266e+06,498.37,1,3.782,3.782,0,0
1.3533,1.2617e+06,498.27,1,3.7938,3.7938,0,0
1.3538,1.2575e+06,498.16,1,3.8056,3.8056,0,0
1.3544,1.2533e+06,498.05,1,3.8174,3.8174,0,0
1.355,1.249e+06,497.94,1,3.8291,3.8291,0,0
1.3555,1.2448e+06,497.83,1,3.8409,3.8409,0,0
1.3561,1.2409e+06,497.73,1,3.8527,3.8527,0,0
1.3566,1.2372e+06,497.63,1,3.8645,3.8645,0,0
1.3572,1.2334e+06,497.54,1,3.8763,3.8763,0,0
1.3577,1.2296e+06,497.44,1,3.8881,3.8881,0,0
1.3582,1.2258e+06,497.34,1,3.8998,3.8998,0,0
1.3588,1.222e+06,497.24,1,3.9116,3.9116,0,0
1.3593,1.2182e+06,497.15,1,3.9234,3.9234,0,0
1.3598,1.2144e+06,497.05,1,3.9352,3.9352,0,0
1.3606,1.2103e+06,496.95,1,3.947,3.947,0,0
1.3615,1.2058e+06,496.83,1,3.9588,3.9588,0,0
1.3624,1.2013e+06,496.72,1,3.9705,3.9705,0,0
1.3634,1.1968e+06,496.6,1,3.9823,3.9823,0,0
1.3643,1.1924e+06,496.49,1,3.9941,3.9941,0,0
1.3652,1.1879e+06,496.38,1,4.0059,4.0059,0,0
1.3662,1.1834e+06,496.26,1,4.0177,4.0177,0,0
1.3671,1.1789e+06,496.15,1,4.0294,4.0294,0,0
1.368,1.1745e+06,496.04,1,4.0412,4.0412,0,0
1.3689,1.1705e+06,495.94,1,4.053,4.053,0,0
1.3698,1.1666e+06,495.84,1,4.0648,4.0648,0,0
1.3706,1.1626e+06,495.74,1,4.0766,4.0766,0,0
1.3715,1.1586e+06,495.64,1,4.0884,4.0884,0,0
1.3723,1.1546e+06,495.54,1,4.1001,4.1001,0,0
1.3732,1.1506e+06,495.44,1,4.1119,4.1119,0,0
1.3741,1.1467e+06,495.34,1,4.1237,4.1237,0,0
1.3749,1.1427e+06,495.24,1,4.1355,4.1355,0,0
1.3757,1.1389e+06,495.14,1,4.1473,4.1473,0,0
1.3765,1.1353e+06,495.05,1,4.159,4.159,0,0
1.3772,1.1317e+06,494.96,1,4.1708,4.1708,0,0
1.378,1.1281e+06,494.87,1,4.1826,4.1826,0,0
1.3787,1.1245e+06,494.78,1,4.1944,4.1944,0,0
1.3795,1.1209e+06,494.69,1,4.2062,4.2062,0,0
1.3802,1.1173e+06,494.6,1,4.218,4.218,0,0
1.3809,1.1137e+06,494.51,1,4.2297,4.2297,0,0
1.3818,1.1099e+06,494.41,1,4.2415,4.2415,0,0
1.3829,1.1058e+06,494.31,1,4.2533,4.2533,0,0
1.384,1.1017e+06,494.21,1,4.2651,4.2651,0,0
1.3851,1.0975e+06,494.1,1,4.2769,4.2769,0,0
1.3862,1.0934e+06,494,1,4.2886,4.2886,0,0
1.3873,1.0893e+06,493.9,1,4.3004,4.3004,0,0
1.3884,1.0851e+06,493.79,1,4.3122,4.3122,0,0
1.3895,1.081e+06,493.69,1,4.324,4.324,0,0
1.3906,1.0769e+06,493.58,1,4.3358,4.3358,0,0
1.3916,1.073e+06,493.49,1,4.3476,4.3476,0,0
1.3927,1.0693e+06,493.39,1,4.3593,4.3593,0,0
1.3937,1.0655e+06,493.3,1,4.3711,4.3711,0,0
1.3948,1.0617e+06,493.21,1,4.3829,4.3829,0,0
1.3958,1.058e+06,493.11,1,4.3947,4.3947,0,0
1.3968,1.0542e+06,493.02,1,4.4065,4.4065,0,0
1.3979,1.0505e+06,492.92,1,4.4183,4.4183,0,0
1.3989,1.0467e+06,492.83,1,4.43,4.43,0,0
1.3999,1.0431e+06,492.74,1,4.4418,4.4418,0,0
1.4008,1.0397e+06,492.65,1,4.4536,4.4536,0,0
1.4017,1.0363e+06,492.57,1,4.4654,4.4654,0,0
1.4026,1.033e+06,492.48,1,4.4772,4.4772,0,0
1.4035,1.0296e+06,492.4,1,4.4889,4.4889,0,0
1.4045,1.0263e+06,492.32,1,4.5007,4.5007,0,0
1.4054,1.0229e+06,492.23,1,4.5125,4.5125,0,0
1.4063,1.0195e+06,492.15,1,4.5243,4.5243,0,0
1.4072,1.0162e+06,492.06,1,4.5361,4.5361,0,0
1.4083,1.0126e+06,491.97,1,4.5479,4.5479,0,0
1.4095,1.0089e+06,491.88,1,4.5596,4.5596,0,0
1.4107,1.0053e+06,491.79,1,4.5714,4.5714,0,0
1.4118,1.0017e+06,491.7,1,4.5832,4.5832,0,0
1.413,9.9809e+05,491.61,1,4.595,4.595,0,0
1.4142,9.9447e+05,491.52,1,4.6068,4.6068,0,0
1.4153,9.9086e+05,491.43,1,4.6185,4.6185,0,0
1.4165,9.8724e+05,491.34,1,4.6303,4.6303,0,0
1.4177,9.8375e+05,491.25,1,4.6421,4.6421,0,0
1.4188,9.8036e+05,491.16,1,4.6539,4.6539,0,0
1.42,9.7698e+05,491.08,1,4.6657,4.6657,0,0
1.4212,9.7359e+05,490.99,1,4.6775,4.6775,0,0
1.4223,9.7021e+05,490.91,1,4.6892,4.6892,0,0
1.4235,9.6682e+05,490.82,1,4.701,4.701,0,0
1.4247,9.6344e+05,490.74,1,4.7128,4.7128,0,0
1.4259,9.6005e+05,490.65,1,4.7246,4.7246,0,0
1.427,9.567e+05,490.57,1,4.7364,4.7364,0,0
1.4281,9.5361e+05,490.49,1,4.7481,4.7481,0,0
1.4291,9.5052e+05,490.41,1,4.7599,4.7599,0,0
1.4301,9.4742e+05,490.33,1,4.7717,4.7717,0,0
1.4312,9.4433e+05,490.25,1,4.7835,4.7835,0,0
1.4322,9.4124e+05,490.17,1,4.7953,4.7953,0,0
1.4333,9.3815e+05,490.1,1,4.8071,4.8071,0,0
1.4343,9.3506e+05,490.02,1,4.8188,4.8188,0,0
1.4354,9.3197e+05,489.94,1,4.8306,4.8306,0,0
1.4365,9.2904e+05,489.86,1,4.8424,4.8424,0,0
1.4376,9.2619e+05,489.79,1,4.8542,4.8542,0,0
1.4388,9.2334e+05,489.72,1,4.866,4.866,0,0
1.4399,9.2049e+05,489.65,1,4.8777,4.8777,0,0
1.4411,9.1763e+05,489.57,1,4.8895,4.8895,0,0
1.4422,9.1478e+05,489.5,1,4.9013,4.9013,0,0
1.4434,9.1193e+05,489.43,1,4.9131,4.9131,0,0
1.4445,9.0908e+05,489.36,1,4.9249,4.9249,0,0
1.4457,9.0619e+05,489.28,1,4.9367,4.9367,0,0
1.4471,9.0321e+05,489.21,1,4.9484,4.9484,0,0
1.4485,9.0023e+05,489.13,1,4.9602,4.9602,0,0
1.4499,8.9725e+05,489.05,1,4.972,4.972,0,0
1.4513,8.9427e+05,488.98,1,4.9838,4.9838,0,0
1.4527,8.9129e+05,488.9,1,4.9956,4.9956,0,0
1.454,8.8831e+05,488.82,1,5.0073,5.0073,0,0
