"Density","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
326.3,0.10111,3752.9,0.0051768,0,2.9284e+06,537.97,1,2.7459,-11.135,0,0
326.3,0.10121,3756.5,0.0050675,0,2.9283e+06,537.97,1,2.7715,-11.109,0,0
326.3,0.10131,3760.1,0.0049514,0,2.9283e+06,537.96,1,2.7972,-11.083,0,0
326.3,0.10142,3763.9,0.0044898,0,2.9283e+06,537.96,1,2.8229,-11.058,0,0
326.29,0.10152,3767.7,0.0040282,0,2.9282e+06,537.96,1,2.8485,-11.032,0,0
326.29,0.10163,3771.5,0.0035667,0,2.9282e+06,537.96,1,2.8742,-11.006,0,0
326.28,0.10173,3775.4,0.0028376,0,2.9281e+06,537.96,1,2.8999,-10.981,0,0
326.28,0.10184,3779.4,0.00044477,0,2.9281e+06,537.96,1,2.9255,-10.955,0,0
326.28,0.10195,3783.3,-0.0019481,0,2.928e+06,537.96,1,2.9512,-10.929,0,0
326.27,0.10206,3787.3,-0.0043409,0,2.928e+06,537.96,1,2.9768,-10.904,0,0
326.27,0.10218,3791.4,-0.0062269,0,2.9279e+06,537.96,1,3.0025,-10.878,0,0
326.27,0.10229,3795.6,-0.0066537,0,2.9279e+06,537.96,1,3.0282,-10.852,0,0
326.26,0.10241,3799.7,-0.0070804,0,2.9278e+06,537.96,1,3.0538,-10.827,0,0
326.26,0.10252,3803.9,-0.0075071,0,2.9278e+06,537.96,1,3.0795,-10.801,0,0
326.26,0.10264,3808.2,-0.0078204,0,2.9277e+06,537.96,1,3.1052,-10.775,0,0
326.25,0.10277,3812.6,-0.0079463,0,2.9277e+06,537.96,1,3.1308,-10.75,0,0
326.25,0.10289,3817,-0.0080721,0,2.9276e+06,537.96,1,3.1565,-10.724,0,0
326.24,0.10301,3821.4,-0.008198,0,2.9276e+06,537.96,1,3.1821,-10.698,0,0
326.24,0.10314,3826,-0.0092294,0,2.9275e+06,537.96,1,3.2078,-10.673,0,0
326.23,0.10326,3830.6,-0.01118,0,2.9275e+06,537.96,1,3.2335,-10.647,0,0
326.23,0.10339,3835.2,-0.01313,0,2.9274e+06,537.96,1,3.2591,-10.621,0,0
326.23,0.10352,3839.8,-0.015081,0,2.9274e+06,537.96,1,3.2848,-10.596,0,0
326.22,0.10365,3844.6,-0.013841,0,2.9273e+06,537.96,1,3.3105,-10.57,0,0
326.22,0.10379,3849.4,-0.010608,0,2.9272e+06,537.96,1,3.3361,-10.544,0,0
326.21,0.10392,3854.3,-0.0073745,0,2.9272e+06,537.96,1,3.3618,-10.519,0,0
326.21,0.10406,3859.1,-0.0041414,0,2.9271e+06,537.95,1,3.3874,-10.493,0,0
326.2,0.1042,3864.1,-0.0089905,0,2.9271e+06,537.95,1,3.4131,-10.467,0,0
326.2,0.10434,3869.2,-0.016757,0,2.927e+06,537.95,1,3.4388,-10.442,0,0
326.19,0.10448,3874.3,-0.024524,0,2.9269e+06,537.95,1,3.4644,-10.416,0,0
326.19,0.10462,3879.3,-0.03229,0,2.9269e+06,537.95,1,3.4901,-10.39,0,0
326.18,0.10476,3884.6,-0.025099,0,2.9268e+06,537.95,1,3.5158,-10.365,0,0
326.18,0.10491,3890,-0.015352,0,2.9268e+06,537.95,1,3.5414,-10.339,0,0
