"C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.5943e+17,57.724,3596.1,0.16529,1.9426e+07,0.64671,7.7853e+05,538.61,0.86121,1,0.069705,0.069705,0,0
-4.6279e+17,57.625,3604.7,0.1662,1.9392e+07,0.64891,7.7762e+05,538.59,0.86019,1,0.069828,0.069828,0,0
-4.6617e+17,57.526,3613.2,0.16713,1.9358e+07,0.65112,7.7669e+05,538.56,0.85917,1,0.069951,0.069951,0,0
-4.6961e+17,57.425,3621.7,0.16813,1.9324e+07,0.65335,7.7575e+05,538.54,0.85813,1,0.070074,0.070074,0,0
-4.7305e+17,57.324,3630.2,0.16913,1.9289e+07,0.65558,7.7481e+05,538.51,0.85709,1,0.070197,0.070197,0,0
-4.765e+17,57.223,3638.6,0.17013,1.9255e+07,0.65781,7.7387e+05,538.49,0.85605,1,0.07032,0.07032,0,0
-4.7996e+17,57.122,3647.1,0.17113,1.9221e+07,0.66004,7.7293e+05,538.46,0.85501,1,0.070443,0.070443,0,0
-4.8349e+17,57.019,3655.4,0.17212,1.9186e+07,0.66229,7.7196e+05,538.44,0.85394,1,0.070566,0.070566,0,0
-4.8702e+17,56.916,3663.8,0.17311,1.9151e+07,0.66454,7.71e+05,538.41,0.85287,1,0.070689,0.070689,0,0
-4.9056e+17,56.813,3672.2,0.1741,1.9115e+07,0.66679,7.7003e+05,538.38,0.8518,1,0.070812,0.070812,0,0
-4.941e+17,56.71,3680.5,0.17511,1.908e+07,0.66904,7.6906e+05,538.36,0.85073,1,0.070935,0.070935,0,0
-4.9773e+17,56.605,3688.8,0.17625,1.9045e+07,0.67131,7.6807e+05,538.33,0.84964,1,0.071058,0.071058,0,0
-5.0135e+17,56.5,3697,0.17739,1.9009e+07,0.67359,7.6708e+05,538.3,0.84854,1,0.071181,0.071181,0,0
-5.0498e+17,56.395,3705.3,0.17854,1.8973e+07,0.67586,7.6609e+05,538.28,0.84745,1,0.071303,0.071303,0,0
-5.0861e+17,56.29,3713.5,0.17965,1.8937e+07,0.67813,7.651e+05,538.25,0.84635,1,0.071426,0.071426,0,0
