"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         114,      -4.224330921,      -1.581097608,      -2.261507045,       1.800341248,      -3.103343689,       2.912285997
          0,           0,         115,      -4.272319407,      -1.587956975,      -2.357980182,       1.750993821,      -3.084608083,       3.049352789
          0,           0,         116,      -4.248826811,      -1.590044445,      -2.279697794,       1.775889772,      -3.044110549,       2.911634241
          0,           0,         117,      -4.297854937,      -1.596323364,      -2.371579554,       1.725550719,      -3.019656296,       3.043587574
          0,           0,         118,      -4.271814638,      -1.598525083,       -2.29576669,       1.753001725,      -2.957687391,       2.911903535
          0,           0,         119,      -4.321939691,      -1.604475357,       -2.38416762,       1.701608408,      -2.926726263,       3.036425045
          0,           0,         120,      -4.293549136,      -1.606973918,      -2.311811601,       1.731379109,      -2.843306328,       2.912537907
          0,           0,         121,      -4.344848792,      -1.612621678,       -2.39723205,       1.678836074,      -2.806665956,       3.030276784
          0,           0,         122,      -4.321527393,      -1.615274256,      -2.329509861,       1.703348432,      -2.706421374,       2.913313366
          0,           0,         123,      -4.375494393,      -1.620632629,      -2.410744385,       1.648076431,      -2.665940158,       3.025709638
          0,           0,         124,      -4.352572774,      -1.623568928,      -2.346936953,       1.672155056,      -2.554908807,       2.913869449
          0,           0,         125,      -4.402798338,      -1.628616801,      -2.424551312,       1.620735216,      -2.512528046,       3.021681585
          0,           0,         126,      -4.377860884,      -1.631937915,      -2.362629426,       1.646846934,      -2.395592794,       2.914125667
          0,           0,         127,      -4.427269834,      -1.635826673,       -2.43700377,       1.596290711,       -2.35277583,       3.019800476
          0,           0,         128,       -4.40004938,      -1.640054824,      -2.376582613,        1.62468686,      -2.233036017,         2.9134689
          0,           0,         129,       -4.44945302,      -1.644640391,      -2.448712887,       1.574162917,      -2.190765488,       3.018663703
          0,           0,         130,      -4.423839022,      -1.648494194,      -2.391931171,       1.600924575,      -2.069768234,       2.912878316
          0,           0,         131,      -4.474612197,      -1.652729811,      -2.459527676,       1.549013097,      -2.028924662,       3.016630101
          0,           0,         132,      -4.449538718,      -1.656482207,      -2.406357095,        1.57523171,      -1.907855771,       2.912819456
          0,           0,         133,      -4.498022959,      -1.660452806,      -2.470378002,       1.525685181,      -1.869342985,       3.015342325
          0,           0,         134,        -4.4687579,      -1.664088186,      -2.420078362,        1.55620074,       -1.74895098,       2.912858134
          0,           0,         135,      -4.518347113,      -1.667868974,      -2.480612545,       1.505505749,      -1.713786475,       3.014090303
          0,           0,         136,      -4.487490024,      -1.671381973,      -2.432886753,       1.537625243,      -1.594745913,        2.91271395
          0,           0,         137,      -4.538700202,      -1.674960313,       -2.49023957,        1.48525917,       -1.56427396,       3.013262979
          0,           0,         138,      -4.506054284,      -1.678135551,       -2.44475227,       1.519174925,      -1.447173802,       2.912867009
          0,           0,         139,      -4.558481136,      -1.681415307,      -2.499491788,       1.465558355,      -1.423017077,       3.012924673
          0,           0,         140,      -4.524012109,      -1.683844376,      -2.455880256,       1.501312285,      -1.308315409,       2.913463701
          0,           0,         141,      -4.577137158,      -1.685657034,      -2.508389985,       1.446986742,      -1.292327889,       3.014604387
          0,           0,         142,      -4.542263655,        -1.6875893,      -2.466282771,       1.483056841,      -1.180524726,       2.913860469
          0,           0,         143,      -4.595904505,      -1.689741167,      -2.516236507,       1.428243589,      -1.174495605,       3.017261536
          0,           0,         144,      -4.560790734,      -1.689019457,      -2.475813301,       1.464621733,      -1.065239147,       2.915790958
          0,           0,         145,      -4.613870345,      -1.690092561,      -2.523612909,       1.410470295,      -1.070288497,        3.02122225
          0,           0,         146,      -4.579480145,      -1.686607292,      -2.484911763,       1.446037664,     -0.9632493495,       2.920606824
          0,           0,         147,      -4.632226498,      -1.686448094,      -2.530207216,       1.392321445,     -0.9796393854,       3.029437524
          0,           0,         148,      -4.597966821,      -1.680216206,      -2.492876477,       1.427692064,     -0.8774172576,       2.928236883
          0,           0,         149,      -4.650659456,      -1.678917072,      -2.535686238,       1.374153137,     -0.9053380477,       3.041449905
          0,           0,         150,      -4.615703206,      -1.670752293,      -2.499757773,       1.410153164,     -0.8088126025,        2.93893644
          0,           0,         151,      -4.667595102,      -1.668787867,      -2.539851337,       1.357578286,     -0.8457808656,       3.057535084
          0,           0,         152,      -4.632469669,      -1.659573685,      -2.504729769,       1.393610711,     -0.7578536775,       2.951706798
          0,           0,         153,      -4.684269511,      -1.657976085,      -2.542374069,       1.341193751,     -0.8020594324,       3.077611327
          0,           0,         154,      -4.648934248,       -1.65110889,      -2.509096989,       1.377270507,     -0.7253131294,       2.966225935
          0,           0,         155,      -4.699987748,       -1.64991661,      -2.544254799,       1.325878047,     -0.7720559379,        3.09747073
          0,           0,         156,      -4.664091183,       -1.64289834,      -2.512866501,       1.362419775,     -0.6994496266,       2.982672278
          0,           0,         157,       -4.71472027,        -1.6427853,      -2.544990752,       1.311630227,     -0.7536354739,       3.117297248
          0,           0,         158,      -4.678590141,      -1.639133648,      -2.516422887,       1.348171548,     -0.6885071465,       3.003287159
          0,           0,         159,      -4.728916627,      -1.637834396,      -2.545474574,       1.297797535,     -0.7325717953,        3.13840002
          0,           0,         160,      -4.693155518,      -1.635961374,      -2.519660968,       1.333885404,     -0.6874249473,       3.024698849
          0,           0,         161,      -4.742849532,      -1.636096764,      -2.546491999,       1.284264239,     -0.7330829746,       3.160538116
          0,           0,         162,      -4.706940236,      -1.632789238,      -2.522484691,       1.320203111,     -0.6721811108,        3.04434795
          0,           0,         163,      -4.756720278,      -1.633430544,      -2.546940517,       1.270624835,     -0.7271990295,       3.180701736
          0,           0,         164,      -4.720147938,      -1.633077099,      -2.524601689,       1.307186705,     -0.6767307803,       3.070152433
          0,           0,         165,      -4.770636477,      -1.633145659,      -2.547444604,       1.256857403,     -0.7171861849,       3.205573346
          0,           0,         166,      -4.735504599,      -1.632736757,      -2.527091624,       1.291867405,     -0.6803221024,       3.086642515
          0,           0,         167,      -4.785656617,      -1.633477471,      -2.548435773,       1.242115204,      -0.729663645,       3.223702199
          0,           0,         168,      -4.749424097,      -1.633307046,      -2.529795004,       1.278084552,     -0.6708066892,       3.116595655
          0,           0,         169,      -4.800640786,      -1.633527931,      -2.548884945,       1.227289518,     -0.7204344298,       3.246596087
          0,           0,         170,      -4.763900986,      -1.634345362,      -2.531472516,       1.263820639,     -0.6841492021,       3.132637827
          0,           0,         171,      -4.813897816,      -1.634821157,       -2.54958829,       1.214357286,     -0.7282279103,       3.264962042
          0,           0,         172,      -4.777367448,        -1.6348693,      -2.533115222,       1.250476816,     -0.6829473449,       3.161854808
          0,           0,         173,       -4.82780807,      -1.635102212,      -2.549748781,       1.200653659,     -0.7326677848,        3.28612192
          0,           0,         174,      -4.792741588,      -1.636361487,      -2.535159133,       1.235181207,     -0.6860462654,       3.180910833
          0,           0,         175,      -4.841811138,      -1.636454727,      -2.550627298,       1.186817219,      -0.731586488,       3.307352523
          0,           0,         176,      -4.805729765,      -1.637071714,      -2.536430099,       1.222350453,     -0.6929163208,       3.205704347
          0,           0,         177,      -4.855678014,      -1.637381325,      -2.550993177,       1.173111965,     -0.7397896944,       3.326232115
          0,           0,         178,      -4.819758053,      -1.638269839,      -2.538096089,       1.208428683,     -0.6958256541,       3.229387898
          0,           0,         179,      -4.870111923,       -1.63812031,      -2.551247054,       1.158846539,      -0.743315122,       3.348612988
          0,           0,         180,      -4.834465926,      -1.639405089,      -2.539252509,       1.193832052,     -0.7008359093,       3.250516778
          0,           0,         181,      -4.883158654,       -1.63932168,      -2.551841958,       1.146000587,      -0.746940201,       3.367753262
          0,           0,         182,      -4.847586974,      -1.640111219,       -2.54060344,       1.180836429,     -0.7059889377,       3.276097046
          0,           0,         183,      -4.897090034,      -1.640072637,      -2.552126665,       1.132276754,     -0.7076840325,       3.315905458
          0,           0,         184,      -4.921548935,      -1.640156345,      -2.556579484,       1.107125036,     -0.7086824117,       3.302947588
          0,           0,         185,      -4.937320244,      -1.639946032,      -2.558955949,       1.090288859,     -0.7097971218,       3.308533342
          0,           0,         186,      -4.949080287,      -1.639577622,      -2.560043029,       1.077771148,     -0.7108430157,       3.317344912
          0,           0,         187,      -4.958635265,      -1.639168696,      -2.560264663,       1.067849492,     -0.7115822819,       3.326450428
          0,           0,         188,      -4.966624577,      -1.638821522,      -2.560048986,       1.059721565,     -0.7125325902,       3.335370601
          0,           0,         189,      -4.973677576,      -1.638565144,      -2.559788858,       1.052612609,     -0.7134546581,       3.343530729
          0,           0,         190,      -4.980298795,      -1.638363951,      -2.559700814,       1.045991503,     -0.7141286549,       3.351054014
          0,           0,         191,       -4.98671994,       -1.63812014,      -2.559722052,       1.039629853,     -0.7142213558,       3.358304779
          0,           0,         192,      -4.992983152,      -1.637722204,      -2.559829255,       1.033484105,     -0.7151701943,       3.365191192
          0,           0,         193,      -4.999145403,      -1.637359996,      -2.560030396,       1.027450025,     -0.7160703803,       3.371976476
          0,           0,         194,      -5.005203663,      -1.636961958,      -2.560132781,       1.021494675,     -0.7166323022,       3.378734559
          0,           0,         195,      -5.011123079,      -1.636637218,      -2.560186081,       1.015620322,     -0.7174831486,       3.385316089
          0,           0,         196,      -5.016886457,      -1.636325982,      -2.560073603,       1.009840467,     -0.7181052656,       3.391716774
          0,           0,         197,      -5.022480858,      -1.636114209,      -2.559946279,       1.004180683,     -0.7187450773,       3.398266177
          0,           0,         198,      -5.027923665,      -1.635964002,      -2.559838492,      0.9986527121,     -0.7195034763,       3.404612045
          0,           0,         199,      -5.033293191,      -1.635631332,       -2.55962441,      0.9932081465,     -0.7204819476,       3.410731595
