Mach,Pressure,Temperature,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
45,0.17944,895130.0,541.87,0.99019,1,0.0055322,0.0055322,0,0,705.086898810965,350004.79718488664
46,0.17951,895120.0,541.87,0.99018,1,0.0056551,0.0056551,0,0,705.0881421042834,350005.4301524656
47,0.17958,895120.0,541.87,0.99017,1,0.005778,0.005778,0,0,705.0881421042834,350005.52616891207
48,0.17965,895110.0,541.87,0.99017,1,0.005901,0.005901,0,0,705.0893853753403,350006.1592035163
49,0.17972,895100.0,541.87,0.99016,1,0.0060239,0.0060239,0,0,705.0906286241385,350006.7922653212
50,0.1798,895100.0,541.87,0.99015,1,0.0061469,0.0061469,0,0,705.0906286241385,350006.9021352864
51,0.17988,895090.0,541.87,0.99014,1,0.0062698,0.0062698,0,0,705.0918718506796,350007.5490126962
52,0.17995,895080.0,541.87,0.99013,1,0.0063927,0.0063927,0,0,705.0931150549662,350008.18218013283
53,0.18003,895070.0,541.87,0.99013,1,0.0065157,0.0065157,0,0,705.094358237,350008.8291298049
54,0.18011,895070.0,541.87,0.99012,1,0.0066386,0.0066386,0,0,705.094358237,350008.9391974793
55,0.18019,895060.0,541.87,0.99011,1,0.0067615,0.0067615,0,0,705.0956013967841,350009.5862381634
56,0.18027,895050.0,541.87,0.9901,1,0.0068845,0.0068845,0,0,705.0968445343193,350010.2333182201
57,0.18036,895040.0,541.87,0.99009,1,0.0070074,0.0070074,0,0,705.0980876496088,350010.89421892015
58,0.18045,895030.0,541.87,0.99008,1,0.0071303,0.0071303,0,0,705.0993307426542,350011.5551726799
59,0.18053,895020.0,541.87,0.99007,1,0.0072533,0.0072533,0,0,705.1005738134579,350012.20238379645
60,0.18062,895010.0,541.87,0.99006,1,0.0073762,0.0073762,0,0,705.1018168620218,350012.86343647074
61,0.18071,895000.0,541.87,0.99005,1,0.0074992,0.0074992,0,0,705.1030598883483,350013.52454222104
62,0.18081,895000.0,541.87,0.99004,1,0.0076221,0.0076221,0,0,705.1030598883483,350013.6626781281
63,0.1809,894990.0,541.87,0.99003,1,0.007745,0.007745,0,0,705.1043028924395,350014.3239091838
64,0.18099,894980.0,541.87,0.99002,1,0.007868,0.007868,0,0,705.1055458742973,350014.9851933301
65,0.18109,894970.0,541.87,0.99001,1,0.0079909,0.0079909,0,0,705.106788833924,350015.66037003504
66,0.18119,894960.0,541.87,0.99,1,0.0081138,0.0081138,0,0,705.108031771322,350016.3356150531
67,0.18129,894950.0,541.87,0.98999,1,0.0082368,0.0082368,0,0,705.1092746864934,350017.010928391
68,0.18139,894940.0,541.87,0.98997,1,0.0083597,0.0083597,0,0,705.1105175794399,350017.6863100554
69,0.18149,894930.0,541.87,0.98996,1,0.0084827,0.0084827,0,0,705.1117604501638,350018.361760053
70,0.1816,894920.0,541.87,0.98995,1,0.0086056,0.0086056,0,0,705.1130032986676,350019.05115855957
71,0.18171,894910.0,541.87,0.98994,1,0.0087285,0.0087285,0,0,705.1142461249533,350019.7406421562
72,0.18182,894890.0,541.87,0.98993,1,0.0088515,0.0088515,0,0,705.116731710878,350020.9669359391
73,0.18192,894880.0,541.87,0.98992,1,0.0089744,0.0089744,0,0,705.1179744705215,350021.64267176803
74,0.18204,894870.0,541.87,0.9899,1,0.0090973,0.0090973,0,0,705.1192172079557,350022.3463062718
75,0.18215,894860.0,541.87,0.98989,1,0.0092203,0.0092203,0,0,705.1204599231824,350023.0361191217
76,0.18226,894850.0,541.87,0.98988,1,0.0093432,0.0093432,0,0,705.1217026162037,350023.7260171042
77,0.18238,894840.0,541.87,0.98986,1,0.0094661,0.0094661,0,0,705.1229452870216,350024.42994279513
78,0.1825,894830.0,541.86,0.98985,1,0.0095891,0.0095891,0,0,705.0810419433246,350001.72783067275
79,0.18262,894810.0,541.86,0.98984,1,0.009712,0.009712,0,0,705.0835277205848,350002.9688584501
80,0.18274,894800.0,541.86,0.98982,1,0.009835,0.009835,0,0,705.0847705758897,350003.6731971239
81,0.18286,894790.0,541.86,0.98981,1,0.0099579,0.0099579,0,0,705.0860134089799,350004.37763922324
82,0.18298,894780.0,541.86,0.9898,1,0.010081,0.010081,0,0,705.0872562198587,350005.08218475705
83,0.18311,894760.0,541.86,0.98978,1,0.010204,0.010204,0,0,705.0897417749887,350006.33755533246
84,0.18324,894750.0,541.86,0.98977,1,0.010327,0.010327,0,0,705.0909845192442,350007.05631497485
85,0.18336,894740.0,541.86,0.98975,1,0.01045,0.01045,0,0,705.0922272412963,350007.76117910346
86,0.1835,894720.0,541.86,0.98974,1,0.010573,0.010573,0,0,705.0947126187987,350009.0308814512
87,0.18363,894710.0,541.86,0.98972,1,0.010696,0.010696,0,0,705.0959552742543,350009.7500005065
88,0.18376,894700.0,541.86,0.98971,1,0.010818,0.010818,0,0,705.0971979075138,350010.4692428755
89,0.1839,894680.0,541.86,0.98969,1,0.010941,0.010941,0,0,705.0996831074581,350011.7393009929
90,0.18404,894670.0,541.86,0.98968,1,0.011064,0.011064,0,0,705.1009256741457,350012.47286234255
91,0.18418,894650.0,541.86,0.98966,1,0.011187,0.011187,0,0,705.1034107409666,350013.7431645897
92,0.18432,894640.0,541.86,0.98965,1,0.01131,0.01131,0,0,705.1046532411016,350014.4770052696
93,0.18446,894630.0,541.86,0.98963,1,0.011433,0.011433,0,0,705.1058957190579,350015.21099067584
94,0.18461,894610.0,541.86,0.98961,1,0.011556,0.011556,0,0,705.1083806084392,350016.4957899816
95,0.18476,894600.0,541.86,0.9896,1,0.011679,0.011679,0,0,705.1096230198685,350017.2441958621
96,0.1849,894580.0,541.86,0.98958,1,0.011802,0.011802,0,0,705.1121077762153,350018.5151441799
97,0.18505,894560.0,541.86,0.98956,1,0.011925,0.011925,0,0,705.1145924438948,350019.8003557721
98,0.1852,894550.0,541.86,0.98955,1,0.012048,0.012048,0,0,705.1158347444884,350020.5492334372
99,0.18536,894530.0,541.86,0.98953,1,0.012171,0.012171,0,0,705.1183192791975,350021.84891471296
100,0.18551,894520.0,541.86,0.98951,1,0.012294,0.012294,0,0,705.119561513317,350022.5981299435
101,0.18567,894500.0,541.86,0.98949,1,0.012417,0.012417,0,0,705.1220459150941,350023.89813961386
102,0.18582,894490.0,541.86,0.98947,1,0.01254,0.01254,0,0,705.1232880827561,350024.6476924892
103,0.18599,894470.0,541.85,0.98946,1,0.012663,0.012663,0,0,705.0826337707927,350002.5595506146
104,0.18615,894450.0,541.85,0.98944,1,0.012785,0.012785,0,0,705.0851184965645,350003.8603095265
105,0.18631,894440.0,541.85,0.98942,1,0.012908,0.012908,0,0,705.0863608262081,350004.62473669933
106,0.18647,894420.0,541.85,0.9894,1,0.013031,0.013031,0,0,705.0888454190225,350005.9258371015
107,0.18664,894400.0,541.85,0.98938,1,0.013154,0.013154,0,0,705.0913299232177,350007.2413740305
108,0.18681,894380.0,541.85,0.98936,1,0.013277,0.013277,0,0,705.0938143388141,350008.5570963189
109,0.18698,894370.0,541.85,0.98934,1,0.0134,0.0134,0,0,705.0950565133917,350009.3365946908
110,0.18715,894350.0,541.85,0.98932,1,0.013523,0.013523,0,0,705.0975407961196,350010.6527117056
111,0.18733,894330.0,541.85,0.9893,1,0.013646,0.013646,0,0,705.1000249902881,350011.98334734933
112,0.18751,894310.0,541.85,0.98928,1,0.013769,0.013769,0,0,705.102509095917,350013.3141967148
113,0.18768,894290.0,541.85,0.98926,1,0.013892,0.013892,0,0,705.1049931130227,350014.6308977154
114,0.18786,894270.0,541.85,0.98924,1,0.014015,0.014015,0,0,705.1074770416208,350015.96216016903
115,0.18804,894250.0,541.85,0.98922,1,0.014138,0.014138,0,0,705.1099608817301,350017.2936364774
116,0.18823,894240.0,541.85,0.9892,1,0.014261,0.014261,0,0,705.1112027686055,350018.103472856
117,0.18841,894220.0,541.85,0.98918,1,0.014384,0.014384,0,0,705.1136864760128,350019.4354149604
118,0.18859,894200.0,541.85,0.98916,1,0.014507,0.014507,0,0,705.1161700949731,350020.76757104485
119,0.18878,894180.0,541.85,0.98913,1,0.01463,0.01463,0,0,705.1186536255026,350022.11439064844
120,0.18898,894160.0,541.85,0.98911,1,0.014752,0.014752,0,0,705.1211370676201,350023.47591960436
121,0.18917,894140.0,541.85,0.98909,1,0.014875,0.014875,0,0,705.1236204213419,350024.82324218005
122,0.18936,894120.0,541.84,0.98907,1,0.014998,0.014998,0,0,705.0829722298172,350002.77139432513
123,0.18956,894100.0,541.84,0.98904,1,0.015121,0.015121,0,0,705.0854559511489,350004.13395246025
124,0.18976,894070.0,541.84,0.98902,1,0.015244,0.015244,0,0,705.0891813673442,350006.0330093497
125,0.18996,894050.0,541.84,0.989,1,0.015367,0.015367,0,0,705.0916648676316,350007.39609531494
126,0.19016,894030.0,541.84,0.98897,1,0.01549,0.01549,0,0,705.094148279531,350008.75945662305
127,0.19036,894010.0,541.84,0.98895,1,0.015613,0.015613,0,0,705.0966316030597,350010.1230933273
128,0.19057,893990.0,541.84,0.98893,1,0.015736,0.015736,0,0,705.099114838234,350011.5015958148
129,0.19078,893970.0,541.84,0.9889,1,0.015859,0.015859,0,0,705.1015979850725,350012.88040664885
130,0.19098,893950.0,541.84,0.98888,1,0.015982,0.015982,0,0,705.1040810435904,350014.24490194215
131,0.1912,893920.0,541.84,0.98885,1,0.016105,0.016105,0,0,705.1078054658053,350016.1750051714
132,0.19142,893900.0,541.84,0.98883,1,0.016228,0.016228,0,0,705.1102883035982,350017.5693778603
133,0.19163,893880.0,541.84,0.9888,1,0.016351,0.016351,0,0,705.1127710531312,350018.9494172586
134,0.19185,893850.0,541.84,0.98878,1,0.016474,0.016474,0,0,705.11649501198,350020.88042914146
135,0.19207,893830.0,541.84,0.98875,1,0.016596,0.016596,0,0,705.1189775409366,350022.27579155646
136,0.19229,893810.0,541.84,0.98872,1,0.016719,0.016719,0,0,705.121459981693,350023.67149714974
137,0.19251,893780.0,541.83,0.9887,1,0.016842,0.016842,0,0,705.0820588588347,350002.20721195213
138,0.19274,893760.0,541.83,0.98867,1,0.016965,0.016965,0,0,705.0845416224477,350003.61857199745
139,0.19297,893730.0,541.83,0.98864,1,0.017088,0.017088,0,0,705.088265602447,350005.5662919029
140,0.1932,893710.0,541.83,0.98862,1,0.017211,0.017211,0,0,705.0907481455248,350006.9783890106
141,0.19343,893680.0,541.83,0.98859,1,0.017334,0.017334,0,0,705.0944717948012,350008.926788418
142,0.19366,893660.0,541.83,0.98856,1,0.017457,0.017457,0,0,705.0969541174495,350010.339622917
143,0.19389,893630.0,541.83,0.98853,1,0.01758,0.01758,0,0,705.1006774361616,350012.28870222083
144,0.19413,893610.0,541.83,0.9885,1,0.017703,0.017703,0,0,705.1031595384871,350013.71714825823
145,0.19437,893580.0,541.83,0.98848,1,0.017826,0.017826,0,0,705.106882526794,350015.6818199015
146,0.19461,893560.0,541.83,0.98845,1,0.017949,0.017949,0,0,705.1093644089028,350017.11107934586
147,0.19486,893530.0,541.83,0.98842,1,0.018072,0.018072,0,0,705.1130870669643,350019.0914405035
148,0.19511,893500.0,541.83,0.98839,1,0.018195,0.018195,0,0,705.1168095269543,350021.07220209134
149,0.19535,893480.0,541.83,0.98836,1,0.018318,0.018318,0,0,705.1192910569365,350022.5027101378
150,0.1956,893450.0,541.83,0.98833,1,0.018441,0.018441,0,0,705.1230131869352,350024.48428810557
151,0.19585,893420.0,541.82,0.9883,1,0.018563,0.018563,0,0,705.0836178678028,350003.07344628585
152,0.19611,893390.0,541.82,0.98827,1,0.018686,0.018686,0,0,705.0873404151941,350005.0712209994
153,0.19636,893360.0,541.82,0.98823,1,0.018809,0.018809,0,0,705.091062764589,350007.0543862922
154,0.19662,893340.0,541.82,0.9882,1,0.018932,0.018932,0,0,705.0935442208824,350008.51735718583
155,0.19688,893310.0,541.82,0.98817,1,0.019055,0.019055,0,0,705.097266240411,350010.51647285523
156,0.19714,893280.0,541.82,0.98814,1,0.019178,0.019178,0,0,705.1009880620951,350012.51603113575
157,0.19741,893250.0,541.82,0.98811,1,0.019301,0.019301,0,0,705.1047096859928,350014.5311676485
158,0.19767,893220.0,541.82,0.98808,1,0.019424,0.019424,0,0,705.1084311121612,350016.5316326385
159,0.19794,893190.0,541.82,0.98804,1,0.019547,0.019547,0,0,705.1121523406566,350018.54771904205
160,0.19822,893160.0,541.82,0.98801,1,0.01967,0.01967,0,0,705.1158733715372,350020.57949250744
161,0.19849,893130.0,541.82,0.98798,1,0.019793,0.019793,0,0,705.1195942048591,350022.59657306876
162,0.19876,893100.0,541.82,0.98794,1,0.019916,0.019916,0,0,705.1233148406798,350024.6141400181
163,0.19904,893070.0,541.81,0.98791,1,0.020039,0.020039,0,0,705.0839251095921,350003.25791983545
164,0.19933,893040.0,541.81,0.98787,1,0.020162,0.020162,0,0,705.0876461621014,350005.30741196824
165,0.19961,893010.0,541.81,0.98784,1,0.020285,0.020285,0,0,705.0913670170889,350007.34217035945
166,0.19989,892980.0,541.81,0.9878,1,0.020408,0.020408,0,0,705.0950876746119,350009.377460009
167,0.20018,892940.0,541.81,0.98777,1,0.02053,0.02053,0,0,705.1000482442407,350011.9640059693
168,0.20047,892910.0,541.81,0.98773,1,0.020653,0.020653,0,0,705.1037684412346,350014.0157271501
169,0.20076,892880.0,541.81,0.9877,1,0.020776,0.020776,0,0,705.1074884409542,350016.06802611647
170,0.20106,892850.0,541.81,0.98766,1,0.020899,0.020899,0,0,705.1112082434558,350018.1363304377
171,0.20135,892810.0,541.81,0.98762,1,0.021022,0.021022,0,0,705.1161676734403,350020.7250291933
172,0.20165,892780.0,541.81,0.98759,1,0.021145,0.021145,0,0,705.1198870159885,350022.79452784645
173,0.20196,892740.0,541.8,0.98755,1,0.021268,0.021268,0,0,705.0817421911715,350002.0288019152
174,0.20226,892710.0,541.8,0.98751,1,0.021391,0.021391,0,0,705.0854618840766,350004.0998883418
175,0.20256,892680.0,541.8,0.98747,1,0.021514,0.021514,0,0,705.0891813798953,350006.1716009968
176,0.20288,892640.0,541.8,0.98743,1,0.021637,0.021637,0,0,705.0941404011731,350008.81025616376
177,0.20319,892600.0,541.8,0.98739,1,0.02176,0.02176,0,0,705.0990990723112,350011.433960514
178,0.2035,892570.0,541.8,0.98736,1,0.021883,0.021883,0,0,705.1028178459673,350013.52318183344
179,0.20381,892530.0,541.8,0.98732,1,0.022006,0.022006,0,0,705.1077759046856,350016.14812586224
180,0.20413,892500.0,541.8,0.98728,1,0.022129,0.022129,0,0,705.1114942191809,350018.2543404847
181,0.20445,892460.0,541.8,0.98724,1,0.022252,0.022252,0,0,705.1164516658923,350020.8962499396
182,0.20477,892420.0,541.8,0.98719,1,0.022375,0.022375,0,0,705.121408763069,350023.53880797204
183,0.20509,892390.0,541.79,0.98715,1,0.022497,0.022497,0,0,705.0820297698103,350002.263906416
184,0.20542,892350.0,541.79,0.98711,1,0.02262,0.02262,0,0,705.0869873333936,350004.9240664908
185,0.20575,892310.0,541.79,0.98707,1,0.022743,0.022743,0,0,705.091944547475,350007.58492871176
186,0.20608,892270.0,541.79,0.98703,1,0.022866,0.022866,0,0,705.0969014121896,350010.2464933884
187,0.20642,892240.0,541.79,0.98699,1,0.022989,0.022989,0,0,705.1006188315332,350012.3897667458
188,0.20676,892200.0,541.79,0.98694,1,0.023112,0.023112,0,0,705.1055750851757,350015.06869416626
189,0.2071,892160.0,541.79,0.9869,1,0.023235,0.023235,0,0,705.110530989821,350017.7483795578
190,0.20744,892120.0,541.79,0.98686,1,0.023358,0.023358,0,0,705.1154865456025,350020.4288232447
191,0.20778,892080.0,541.79,0.98681,1,0.023481,0.023481,0,0,705.1204417526532,350023.11002555053
192,0.20813,892040.0,541.78,0.98677,1,0.023604,0.023604,0,0,705.0823070652424,350002.4280117297
193,0.20848,892000.0,541.78,0.98672,1,0.023727,0.023727,0,0,705.0872626508194,350005.1272534455
194,0.20884,891960.0,541.78,0.98668,1,0.02385,0.02385,0,0,705.0922178877307,350007.84336026886
195,0.20919,891910.0,541.78,0.98663,1,0.023973,0.023973,0,0,705.0984114437646,350011.0788945307
196,0.20955,891870.0,541.78,0.98658,1,0.024096,0.024096,0,0,705.1033658966701,350013.79667467094
197,0.20991,891830.0,541.78,0.98654,1,0.024219,0.024219,0,0,705.1083200013456,350016.51532909
198,0.21027,891790.0,541.78,0.98649,1,0.024342,0.024342,0,0,705.1132737579265,350019.2348581428
199,0.21063,891740.0,541.78,0.98644,1,0.024464,0.024464,0,0,705.1194654643461,350022.4897010975
200,0.21101,891700.0,541.78,0.98639,1,0.024587,0.024587,0,0,705.1244184382005,350025.243388738
201,0.21138,891660.0,541.77,0.98635,1,0.02471,0.02471,0,0,705.0862893507124,350004.6054556647
202,0.21175,891610.0,541.77,0.9863,1,0.024833,0.024833,0,0,705.0924809861505,350007.8797152418
203,0.21213,891570.0,541.77,0.98625,1,0.024956,0.024956,0,0,705.0974339033298,350010.63674276194
204,0.21251,891520.0,541.77,0.9862,1,0.025079,0.025079,0,0,705.1036245610596,350013.92910292663
205,0.21289,891480.0,541.77,0.98615,1,0.025202,0.025202,0,0,705.1085766964114,350016.6880807096
206,0.21327,891430.0,541.77,0.9861,1,0.025325,0.025325,0,0,705.1147663772787,350019.9822898515
207,0.21366,891390.0,541.77,0.98605,1,0.025448,0.025448,0,0,705.1197177314779,350022.75965942495
208,0.21405,891340.0,541.76,0.98599,1,0.025571,0.025571,0,0,705.0828309308333,350002.69877259043
209,0.21444,891290.0,541.76,0.98594,1,0.025694,0.025694,0,0,705.0890204328078,350006.01289288374
210,0.21484,891240.0,541.76,0.98589,1,0.025817,0.025817,0,0,705.0952093926512,350009.34450688557
211,0.21524,891200.0,541.76,0.98584,1,0.02594,0.02594,0,0,705.1001601703671,350012.1430407018
212,0.21564,891150.0,541.76,0.98578,1,0.026063,0.026063,0,0,705.1063481550304,350015.4767643337
